date,count
1969-12-31,1
2010-02-03,25
2010-02-04,43
2010-02-05,18
2010-02-06,1
2010-02-08,25
2010-02-09,34
2010-02-10,28
2010-02-12,14
2010-02-14,2
2010-02-16,8
2010-02-19,3
2010-02-20,7
2010-02-21,2
2010-02-23,43
2010-02-24,19
2010-02-25,17
2010-02-26,58
2010-02-27,10
2010-02-28,10
2010-03-01,69
2010-03-02,72
2010-03-03,72
2010-03-04,91
2010-03-05,76
2010-03-06,13
2010-03-07,13
2010-03-08,78
2010-03-09,84
2010-03-10,69
2010-03-11,97
2010-03-12,76
2010-03-13,8
2010-03-14,8
2010-03-15,65
2010-03-16,72
2010-03-17,55
2010-03-18,67
2010-03-19,66
2010-03-20,26
2010-03-21,12
2010-03-22,69
2010-03-23,58
2010-03-24,65
2010-03-25,85
2010-03-26,54
2010-03-27,7
2010-03-28,1
2010-03-29,51
2010-03-30,60
2010-03-31,61
2010-04-01,55
2010-04-02,3
2010-04-03,3
2010-04-04,4
2010-04-05,57
2010-04-06,78
2010-04-07,103
2010-04-08,74
2010-04-09,75
2010-04-10,4
2010-04-12,74
2010-04-13,86
2010-04-14,65
2010-04-15,75
2010-04-16,76
2010-04-17,5
2010-04-18,3
2010-04-19,12
2010-04-20,65
2010-04-21,77
2010-04-22,81
2010-04-23,78
2010-04-24,12
2010-04-25,9
2010-04-26,91
2010-04-27,61
2010-04-28,59
2010-04-29,70
2010-04-30,50
2010-05-01,8
2010-05-02,1
2010-05-03,29
2010-05-04,60
2010-05-05,64
2010-05-06,62
2010-05-07,55
2010-05-08,9
2010-05-09,4
2010-05-10,51
2010-05-11,69
2010-05-12,8
2010-05-13,45
2010-05-14,14
2010-05-15,5
2010-05-17,79
2010-05-18,49
2010-05-19,68
2010-05-20,55
2010-05-21,67
2010-05-22,6
2010-05-23,3
2010-05-24,35
2010-05-25,72
2010-05-26,79
2010-05-27,57
2010-05-28,51
2010-05-29,5
2010-05-30,5
2010-05-31,5
2010-06-01,68
2010-06-02,58
2010-06-03,65
2010-06-04,40
2010-06-05,7
2010-06-06,2
2010-06-07,49
2010-06-08,62
2010-06-09,70
2010-06-10,44
2010-06-11,48
2010-06-12,5
2010-06-13,2
2010-06-14,60
2010-06-15,52
2010-06-16,72
2010-06-17,61
2010-06-18,50
2010-06-19,5
2010-06-20,3
2010-06-21,73
2010-06-22,62
2010-06-23,27
2010-06-24,49
2010-06-25,69
2010-06-26,8
2010-06-28,38
2010-06-29,36
2010-06-30,62
2010-07-01,33
2010-07-02,47
2010-07-03,6
2010-07-04,4
2010-07-05,2
2010-07-06,60
2010-07-07,45
2010-07-08,45
2010-07-09,63
2010-07-10,10
2010-07-11,4
2010-07-12,63
2010-07-13,29
2010-07-14,83
2010-07-15,73
2010-07-16,28
2010-07-17,6
2010-07-18,7
2010-07-19,66
2010-07-20,44
2010-07-21,51
2010-07-22,27
2010-07-23,66
2010-07-24,11
2010-07-25,2
2010-07-26,44
2010-07-27,51
2010-07-28,64
2010-07-29,79
2010-07-30,42
2010-07-31,8
2010-08-01,3
2010-08-02,54
2010-08-03,62
2010-08-04,76
2010-08-05,46
2010-08-06,28
2010-08-07,6
2010-08-08,5
2010-08-09,39
2010-08-10,53
2010-08-11,51
2010-08-12,73
2010-08-13,35
2010-08-14,8
2010-08-15,2
2010-08-16,97
2010-08-17,61
2010-08-18,52
2010-08-19,43
2010-08-20,12
2010-08-21,9
2010-08-22,5
2010-08-23,2
2010-08-24,4
2010-08-25,23
2010-08-26,52
2010-08-27,48
2010-08-28,8
2010-08-29,3
2010-08-30,56
2010-08-31,41
2010-09-01,47
2010-09-02,45
2010-09-03,42
2010-09-04,3
2010-09-05,4
2010-09-06,12
2010-09-07,46
2010-09-08,57
2010-09-09,41
2010-09-10,64
2010-09-11,6
2010-09-12,3
2010-09-13,50
2010-09-14,51
2010-09-15,27
2010-09-16,41
2010-09-17,56
2010-09-18,7
2010-09-19,5
2010-09-20,78
2010-09-21,53
2010-09-22,24
2010-09-23,14
2010-09-24,16
2010-09-25,3
2010-09-26,6
2010-09-27,33
2010-09-28,17
2010-09-29,7
2010-09-30,10
2010-10-01,17
2010-10-02,4
2010-10-03,4
2010-10-04,12
2010-10-05,22
2010-10-06,9
2010-10-07,19
2010-10-08,8
2010-10-11,1
2010-10-12,1
2010-10-13,2
2010-10-14,3
2010-10-15,1
2010-10-16,1
2010-10-17,5
2010-10-18,65
2010-10-19,65
2010-10-20,19
2010-10-21,81
2010-10-22,89
2010-10-23,8
2010-10-24,8
2010-10-25,95
2010-10-27,22
2010-10-28,80
2010-10-29,51
2010-10-30,10
2010-11-02,91
2010-11-03,29
2010-11-04,43
2010-11-05,55
2010-11-06,10
2010-11-07,4
2010-11-08,63
2010-11-09,95
2010-11-10,77
2010-11-11,55
2010-11-12,96
2010-11-13,14
2010-11-14,8
2010-11-15,80
2010-11-16,75
2010-11-17,60
2010-11-18,80
2010-11-19,36
2010-11-20,8
2010-11-21,2
2010-11-22,134
2010-11-23,82
2010-11-24,88
2010-11-25,10
2010-11-26,26
2010-11-27,5
2010-11-28,2
2010-11-29,94
2010-11-30,87
2010-12-01,59
2010-12-02,60
2010-12-03,68
2010-12-04,6
2010-12-06,80
2010-12-07,55
2010-12-08,70
2010-12-09,75
2010-12-10,73
2010-12-11,12
2010-12-12,3
2010-12-13,72
2010-12-14,56
2010-12-15,91
2010-12-16,83
2010-12-17,70
2010-12-18,13
2010-12-19,6
2010-12-20,98
2010-12-21,81
2010-12-22,82
2010-12-23,58
2010-12-24,10
2010-12-25,4
2010-12-26,5
2010-12-27,65
2010-12-28,60
2010-12-29,68
2010-12-30,88
2010-12-31,70
2011-01-01,5
2011-01-03,85
2011-01-04,80
2011-01-05,73
2011-01-06,106
2011-01-07,80
2011-01-08,6
2011-01-09,5
2011-01-10,94
2011-01-11,93
2011-01-12,65
2011-01-13,81
2011-01-14,77
