term,tfidf
earnings,0.035268570230482355
auto,0.02542940079590335
analyst,0.024845006944038295
blog,0.02404680839055837
stocks,0.022654600244633748
parts,0.022135395391481294
advance,0.021491840699280902
agilent,0.020508717993739163
aaron,0.018932775427805387
market,0.018311801358672344
stock,0.017169787320397235
results,0.013125514041734603
buy,0.012884158526862225
beats,0.012808326263008226
dividend,0.012149061404585099
alliancebernstein,0.011458779585146019
aap,0.011352124101760543
q1,0.011167851869743634
technologies,0.010891143586057857
q4,0.010668569034326498
q2,0.01029297234885445
estimates,0.010154224794580405
new,0.009925584118569562
q3,0.009802729197655317
aan,0.009527795778392193
tale,0.009216193527624246
tape,0.009138915343876335
revenue,0.008868451354874065
notable,0.008662241181237335
aac,0.008469341587206738
community,0.008265190695369967
aaon,0.00818626434576384
stars,0.008163484106821123
vetr,0.008163484106821123
buys,0.008018749153092704
zacks,0.007977576750828818
report,0.00789501252595868
growth,0.007761446779642864
beat,0.007532950012824238
reports,0.007484289395685573
misses,0.007260933824769176
management,0.0070499665213625134
open,0.006920959570817804
holdings,0.0069083682632202666
rent,0.006771945432134542
2019,0.006751729376884506
autozone,0.006673727871666744
center,0.0066580139010925235
strong,0.006344993376189499
alcoa,0.006268581932410682
losers,0.006188187343793931
ceo,0.006169282037353069
downgraded,0.006148389683172715
week,0.006122481909758582
transcript,0.006097073483013943
investors,0.00607937271685342
talk,0.006036961038452021
portfolio,0.006026345331540912
gainers,0.005940710665240658
thursday,0.005858716060280307
revenues,0.005793591284248482
capital,0.00564370403867714
sales,0.005633997191811671
ab,0.005617188451857244
declares,0.005574444300987215
tuesday,0.005568727668405377
2018,0.005528853588514304
rank,0.005421143633718967
retail,0.005418427849032206
additions,0.005190255954360879
best,0.004975531858656515
high,0.004965105172741397
global,0.004928934384246874
higher,0.004872946429828
upgraded,0.00470358971507718
value,0.004645774254146673
store,0.004558064523447805
monday,0.004557689529813662
miss,0.004544688082667324
wednesday,0.004520068123186224
shares,0.004520040311289885
march,0.004326592405052445
reilly,0.004239058595172801
industry,0.004237902920367771
alert,0.0041073116119032076
sells,0.004065959076424796
roundup,0.00406460605720521
american,0.004009231001640189
highlights,0.004002554231984094
watch,0.003988375896982368
10,0.00398769947744927
aum,0.003938275966677562
announces,0.003918770318307272
ranked,0.003883120594792071
gains,0.003875968753678276
asset,0.0038705125989950246
strength,0.003859132644189709
close,0.0038106775390061975
street,0.0037915253752675722
company,0.0037827289208274832
