algo_a,algo_b,ARI,NMI,overlap_count
agg_ward_k8,clara_k8_m10000_t5,0.0010548948493429335,0.003515243315538997,10000
agg_ward_k8,gmm_k8,0.005134841774380464,0.015844852826051227,10000
agg_ward_k8,hdbscan_minsize50,0.00021250851114951042,0.003389940253668878,2222
agg_ward_k8,minibatch_k8,-0.00021675853817249816,0.002852060815270683,10000
agg_ward_k8,mst_k8,-3.0002382708605226e-05,0.0013715903296095955,10000
clara_k8_m10000_t5,gmm_k8,0.4023229937043982,0.47188904058768605,10000
clara_k8_m10000_t5,hdbscan_minsize50,0.3987859003160612,0.5661063605148159,2222
clara_k8_m10000_t5,minibatch_k8,0.48981397003048543,0.6192039370700345,10000
clara_k8_m10000_t5,mst_k8,0.00030207029002774833,0.0022412937789700422,10000
gmm_k8,hdbscan_minsize50,0.29724162353710304,0.36832502341028506,2222
gmm_k8,minibatch_k8,0.36360476941034625,0.43372220858036487,10000
gmm_k8,mst_k8,4.028087304202128e-05,0.0016523427603703593,10000
hdbscan_minsize50,minibatch_k8,0.4562516272403446,0.5919574024810422,2222
hdbscan_minsize50,mst_k8,0.0,0.0,2222
minibatch_k8,mst_k8,0.0001236175522942185,0.0017771420187139254,10000
