cluster_a,cluster_b,centroid_distance,dbi_like_ratio
23,31,3.5570261478424072,4.61047898590606
3,23,3.666656732559204,4.459785580054143
8,25,3.710223913192749,3.8848750662439135
14,29,3.722456932067871,3.9827793503872
23,25,3.75388240814209,4.11242099358498
23,30,3.7981982231140137,4.147153457096123
19,23,3.7997963428497314,4.098139978155923
0,18,3.8023829460144043,3.7233989723074803
23,24,3.8035812377929688,4.135781291683967
18,23,3.8161239624023438,4.029312412157853
10,29,3.8185253143310547,3.921056594707211
10,21,3.8225855827331543,3.6050830139625023
19,24,3.8234493732452393,3.979524726675529
12,23,3.832362413406372,3.989739141113592
24,26,3.8666832447052,4.066277162259693
20,23,3.877021312713623,3.8370295901842684
0,23,3.8804636001586914,3.8317069148610665
10,23,3.892082452774048,3.9215830217224004
14,19,3.9288840293884277,3.7163037366373333
25,31,3.947632312774658,3.9896757797188838
18,24,3.967757225036621,3.785455817156372
23,26,3.988450050354004,4.0315389557583785
19,31,3.994468927383423,3.9765800643511344
10,26,3.9998035430908203,3.814024851112206
14,23,4.007636070251465,3.7718482758653513
0,29,4.015933990478516,3.6301215717267015
19,29,4.022913932800293,3.7986461944309253
3,31,4.035515785217285,4.129516996747051
23,28,4.037062168121338,3.8295898590334208
18,30,4.044166088104248,3.7191104687515293
30,31,4.0445451736450195,3.9717541540193344
10,24,4.044920444488525,3.685248867327383
10,19,4.059763431549072,3.6326884341810683
19,25,4.060417652130127,3.675059390065873
0,25,4.061922550201416,3.5005536793055185
23,29,4.075840473175049,3.875739398527573
0,31,4.079478740692139,3.7213154859679167
24,31,4.093751430511475,3.9189014281406216
9,10,4.101258754730225,3.265113336727527
3,14,4.110683917999268,3.741793878452739
20,30,4.111877918243408,3.53624075796166
0,27,4.112947940826416,3.0214697691501584
4,14,4.1199951171875,3.534445044220912
18,19,4.122060775756836,3.605256606792597
18,26,4.123805522918701,3.7267958466033635
10,18,4.1238579750061035,3.528762168351746
3,10,4.128241539001465,3.7614710859307774
8,23,4.130801200866699,3.6466479308704063
12,20,4.141836166381836,3.399218402820151
3,19,4.142131328582764,3.823450480903001
