row_index,label
0,31
1,7
2,27
3,14
4,31
5,18
6,3
7,14
8,14
9,14
10,14
11,18
12,18
13,14
14,12
15,24
16,4
17,4
18,26
19,14
20,14
21,14
22,5
23,13
24,4
25,31
26,16
27,12
28,13
29,5
30,31
31,3
32,0
33,9
34,16
35,29
36,9
37,4
38,9
39,14
40,14
41,0
42,9
43,14
44,14
45,7
46,14
47,19
48,9
49,18
50,14
51,14
52,18
53,21
54,5
55,0
56,5
57,18
58,20
59,14
60,31
61,4
62,14
63,31
64,26
65,31
66,31
67,9
68,1
69,0
70,9
71,28
72,11
73,9
74,2
75,13
76,26
77,13
78,26
79,25
80,23
81,0
82,5
83,26
84,15
85,19
86,26
87,29
88,14
89,4
90,22
91,24
92,14
93,0
94,14
95,10
96,14
97,14
98,14
99,28
100,7
101,20
102,14
103,18
104,31
105,14
106,28
107,13
108,18
109,14
110,16
111,0
112,31
113,18
114,16
115,14
116,21
117,13
118,13
119,26
120,0
121,15
122,16
123,30
124,0
125,10
126,29
127,30
128,5
129,18
130,16
131,31
132,21
133,31
134,31
135,14
136,14
137,14
138,0
139,14
140,9
141,1
142,29
143,9
144,0
145,11
146,12
147,25
148,25
149,14
150,9
151,2
152,7
153,26
154,26
155,31
156,19
157,16
158,5
159,28
160,16
161,13
162,14
163,23
164,16
165,22
166,16
167,30
168,18
169,14
170,0
171,13
172,30
173,13
174,18
175,23
176,0
177,23
178,3
179,25
180,15
181,14
182,3
183,0
184,3
185,28
186,1
187,29
188,12
189,12
190,11
191,7
192,9
193,2
194,28
195,0
196,9
197,19
198,7
199,12
200,9
201,14
202,7
203,9
204,4
205,7
206,7
207,7
208,31
209,7
210,14
211,14
212,19
213,7
214,7
215,7
216,7
217,7
218,7
219,7
220,7
221,7
222,14
223,14
224,9
225,9
226,7
227,9
228,19
229,9
230,7
231,7
232,9
233,0
234,7
235,14
236,31
237,3
238,13
239,20
240,0
241,15
242,7
243,22
244,4
245,9
246,9
247,14
248,26
249,29
250,26
251,29
252,30
253,9
254,1
255,28
256,12
257,21
258,31
259,19
260,31
261,31
262,7
263,7
264,28
265,16
266,5
267,26
268,26
269,7
270,19
271,10
272,22
273,13
274,5
275,27
276,26
277,0
278,26
279,26
280,25
281,9
282,5
283,1
284,13
285,28
286,0
287,11
288,13
289,2
290,26
291,23
292,26
293,19
294,15
295,31
296,19
297,28
298,28
299,16
300,20
301,21
302,14
303,9
304,0
305,12
306,14
307,16
308,31
309,13
310,31
311,10
312,7
313,15
314,20
315,0
316,13
317,19
318,26
319,23
320,23
321,18
322,12
323,28
324,4
325,4
326,1
327,12
328,11
329,26
330,2
331,21
332,28
333,29
334,19
335,26
336,28
337,7
338,7
339,3
340,26
341,7
342,18
343,19
344,7
345,19
346,16
347,9
348,7
349,20
350,16
351,21
352,7
353,23
354,7
355,14
356,7
357,31
358,16
359,23
360,12
361,29
362,10
363,29
364,31
365,18
366,18
367,16
368,15
369,10
370,9
371,12
372,6
373,9
374,1
375,6
376,28
377,13
378,26
379,13
380,2
381,4
382,14
383,19
384,12
385,9
386,31
387,7
388,9
389,9
390,31
391,9
392,12
393,7
394,19
395,0
396,24
397,31
398,16
399,22
400,10
401,31
402,18
403,13
404,31
405,15
406,23
407,16
408,16
409,18
410,31
411,16
412,26
413,18
414,28
415,18
416,3
417,20
418,0
419,9
420,28
421,28
422,0
423,11
424,28
425,2
426,30
427,7
428,0
429,19
430,31
431,7
432,19
433,7
434,19
435,14
436,16
437,16
438,16
439,4
440,16
441,5
442,16
443,5
444,13
445,12
446,4
447,31
448,13
449,5
450,26
451,28
452,0
453,9
454,1
455,6
456,9
457,11
458,6
459,2
460,13
461,7
462,22
463,21
464,18
465,20
466,9
467,9
468,9
469,14
470,30
471,19
472,21
473,23
474,0
475,24
476,30
477,25
478,21
479,19
480,26
481,26
482,16
483,0
484,30
485,23
486,25
487,9
488,26
489,25
490,25
491,25
492,9
493,25
494,25
495,14
496,14
497,14
498,6
499,26
500,15
501,26
502,16
503,4
504,16
505,4
506,25
507,28
508,28
509,11
510,2
511,7
512,28
513,23
514,23
515,13
516,16
517,15
518,1
519,28
520,9
521,11
522,12
523,2
524,28
525,30
526,23
527,13
528,26
529,15
530,21
531,18
532,25
533,28
534,1
535,25
536,11
537,31
538,2
539,24
540,30
541,28
542,31
543,7
544,10
545,3
546,16
547,31
548,13
549,3
550,30
551,5
552,31
553,15
554,19
555,30
556,24
557,13
558,1
559,31
560,2
561,16
562,28
563,16
564,29
565,28
566,20
567,28
568,1
569,28
570,2
571,5
572,28
573,27
574,31
575,31
576,30
577,31
578,31
579,29
580,18
581,24
582,22
583,13
584,3
585,28
586,17
587,17
588,17
589,17
590,17
591,17
592,17
593,17
594,17
595,17
596,17
597,17
598,17
599,17
600,17
601,17
602,17
603,17
604,17
605,17
606,17
607,7
608,7
609,7
610,9
611,23
612,31
613,15
614,18
615,21
616,31
617,31
618,9
619,25
620,12
621,28
622,11
623,25
624,7
625,31
626,17
627,17
628,17
629,0
630,17
631,17
632,17
633,9
634,17
635,31
636,17
637,27
638,17
639,25
640,19
641,30
642,18
643,13
644,16
645,4
646,17
647,3
648,18
649,17
650,17
651,13
652,13
653,15
654,16
655,1
656,22
657,4
658,31
659,28
660,28
661,11
662,17
663,5
664,2
665,16
666,7
667,18
668,17
669,17
670,13
671,31
672,31
673,22
674,3
675,28
676,17
677,16
678,17
679,18
680,17
681,27
682,31
683,24
684,7
685,13
686,18
687,21
688,22
689,16
690,15
691,18
692,22
693,9
694,5
695,9
696,1
697,9
698,28
699,31
700,5
701,9
702,2
703,19
704,5
705,8
