feature_space,sample_size,metric,min_cluster_size,min_samples,cluster_selection_method,coverage_pct,noise_pct,n_clusters,n_assigned,silhouette_cosine,dbi,negative_silhouette_pct,min_assigned_cluster_size,median_assigned_cluster_size,max_assigned_cluster_size,largest_cluster_pct,collapse_warning,too_sparse_warning,event_score
text_pca64_only,50000,euclidean,30,20,leaf,17.23,82.77,113,8615,0.6196708083152771,0.9805656209431456,0.8357515960533952,30,49.0,774,8.984329657574,False,False,0.8155947683838438
text_pca64_lexical,50000,euclidean,30,20,leaf,17.988,82.012,114,8994,0.6120337247848511,0.994398043901603,0.8561263064265066,30,49.0,779,8.661329775405827,False,False,0.8011878741678939
text_pca64_only,50000,euclidean,30,20,eom,21.026,78.974,105,10513,0.5706726312637329,0.9802638854210736,0.8699999999999999,30,52.0,1422,13.526110529820222,False,False,0.7485271806612523
text_pca64_lexical,50000,euclidean,30,20,eom,21.746,78.254,106,10873,0.5594462156295776,1.1094833421987285,2.1,30,54.0,1498,13.777246390140716,False,False,0.6329062168124212
text_pca64_only,50000,euclidean,30,10,leaf,21.192,78.80799999999999,132,10596,0.5480998158454895,1.1351415941150125,1.97,30,56.5,793,7.483956209890525,False,False,0.611946541362091
text_pca64_lexical,50000,euclidean,30,10,leaf,21.832,78.168,135,10916,0.5436511635780334,1.1561436549157045,2.13,30,56.0,794,7.273726639794796,False,False,0.597240328709223
text_pca64_only,50000,euclidean,50,20,leaf,18.482000000000003,81.518,62,9241,0.5872937440872192,1.2269682485528657,0.7683151174115356,52,94.0,774,8.375716913753923,False,False,0.5883103244128914
text_pca64_lexical,50000,euclidean,50,20,leaf,19.368,80.632,65,9684,0.5767448544502258,1.2419485368223175,0.93969434118133,52,93.0,779,8.044196612969849,False,False,0.5662881133784264
text_pca64_only,50000,euclidean,50,20,eom,20.814,79.186,59,10407,0.5543855428695679,1.2299448166712643,0.84,52,97.0,1422,13.663880080714904,False,False,0.5395465574013177
text_pca64_lexical,50000,euclidean,50,20,eom,21.65,78.35,63,10825,0.5484566688537598,1.243206301777101,0.8999999999999999,52,95.0,1498,13.838337182448038,False,False,0.5315681560497834
text_pca64_lexical,50000,euclidean,30,10,eom,25.548,74.452,123,12774,0.5048019289970398,1.1765870288410891,2.69,30,62.0,1508,11.805229372162204,False,False,0.5234963477801184
text_pca64_only,50000,euclidean,30,10,eom,24.916,75.084,122,12458,0.5038796067237854,1.1632168619386507,2.86,30,60.0,1532,12.29731899181249,False,False,0.5156755561455063
text_pca64_only,50000,euclidean,50,10,eom,24.314,75.686,73,12157,0.5110874772071838,1.2754020675740474,1.64,50,97.0,1638,13.473718845109811,False,False,0.4549804354280505
text_pca64_lexical,50000,euclidean,50,10,eom,24.572,75.428,75,12286,0.5126131772994995,1.2983204536609738,1.66,50,96.0,1666,13.56014976395898,False,False,0.4503080432321782
text_pca64_only,50000,euclidean,30,5,leaf,20.916,79.084,153,10458,0.5113855600357056,1.3063899322253,2.89,30,52.0,282,2.6965002868617325,False,False,0.4299479583615986
text_pca64_only,50000,euclidean,50,10,leaf,20.436,79.564,81,10218,0.5222811698913574,1.3054457765714105,1.92,50,83.0,793,7.760814249363868,False,False,0.41452279532918324
text_pca64_lexical,50000,euclidean,50,10,leaf,20.698,79.30199999999999,83,10349,0.52132248878479,1.3257214197868483,2.17,50,86.0,794,7.672238863658324,False,False,0.4000231193181732
text_pca64_lexical,50000,euclidean,30,5,leaf,22.348000000000003,77.652,151,11174,0.4935222566127777,1.2986693521272583,3.42,30,55.0,537,4.805799176660104,False,False,0.39770791677139333
text_pca64_lexical,50000,euclidean,30,5,eom,29.326,70.674,138,14663,0.4598798751831054,1.3001353146236077,4.17,30,58.0,1649,11.245993316510946,False,False,0.38030935613835254
text_pca64_only,50000,euclidean,30,5,eom,28.716,71.28399999999999,139,14358,0.4612204730510711,1.301224887565496,4.08,30,57.0,1665,11.596322607605517,False,False,0.37819697831530974
text_pca64_only,50000,euclidean,100,20,leaf,18.614,81.386,31,9307,0.5276865363121033,1.2949241211336258,1.8480713441495649,103,195.0,1596,17.14838293757387,False,False,0.37056559436629055
text_pca64_lexical,50000,euclidean,100,20,eom,19.256,80.744,32,9628,0.523620069026947,1.3010432600558055,1.9422517656834235,100,191.0,1664,17.28292480265891,False,False,0.36477166533097255
text_pca64_lexical,50000,euclidean,100,20,leaf,19.256,80.744,32,9628,0.523620069026947,1.3010432600558055,1.9422517656834235,100,191.0,1664,17.28292480265891,False,False,0.36477166533097255
text_pca64_only,50000,euclidean,50,5,leaf,22.21,77.78999999999999,89,11105,0.5001457333564758,1.3769906853131697,2.01,50,84.0,798,7.185952273750564,False,False,0.35397454870769945
text_pca64_lexical,50000,euclidean,50,5,leaf,23.284,76.71600000000001,92,11642,0.4857892692089081,1.384414499533061,2.21,50,85.5,797,6.845902765847793,False,False,0.329304444406604
text_pca64_lexical,50000,euclidean,100,10,eom,22.03,77.97,39,11015,0.4968445301055908,1.3600265516268486,1.78,102,185.0,1666,15.124829777576032,False,False,0.31888022691445345
text_pca64_lexical,50000,euclidean,100,10,leaf,22.03,77.97,39,11015,0.4968445301055908,1.3600265516268486,1.78,102,185.0,1666,15.124829777576032,False,False,0.31888022691445345
text_pca64_only,50000,euclidean,100,10,eom,21.442,78.55799999999999,37,10721,0.4947344362735748,1.3522825668308287,1.96,101,187.0,1638,15.278425520007463,False,False,0.3049211399429492
text_pca64_only,50000,euclidean,100,10,leaf,21.442,78.55799999999999,37,10721,0.4947344362735748,1.3522825668308287,1.96,101,187.0,1638,15.278425520007463,False,False,0.3049211399429492
text_pca64_lexical,50000,euclidean,50,5,eom,27.888,72.112,83,13944,0.4698401391506195,1.419902244867549,3.15,50,97.0,1753,12.571715433161216,False,False,0.3011917507806935
text_pca64_only,50000,euclidean,50,5,eom,26.998,73.002,80,13499,0.4745293855667114,1.4243802731065336,3.4799999999999995,50,99.0,1776,13.15653011334173,False,False,0.2871121570642
text_pca64_lexical,50000,euclidean,100,5,eom,24.726,75.274,45,12363,0.4740960896015167,1.4454690030019754,1.86,108,184.0,1753,14.17940629297096,False,False,0.25958875485037325
text_pca64_lexical,50000,euclidean,100,5,leaf,24.726,75.274,45,12363,0.4740960896015167,1.4454690030019754,1.86,108,184.0,1753,14.17940629297096,False,False,0.25958875485037325
text_pca64_only,50000,euclidean,100,5,eom,24.108,75.892,44,12054,0.4694316387176513,1.4446633359183585,2.11,101,181.5,1776,14.733698357391736,False,False,0.2349796395991441
text_pca64_only,50000,euclidean,100,5,leaf,24.108,75.892,44,12054,0.4694316387176513,1.4446633359183585,2.11,101,181.5,1776,14.733698357391736,False,False,0.2349796395991441
text_pca64_only,50000,euclidean,100,20,eom,20.054,79.946,30,10027,0.4592827260494232,1.3222643629136124,6.64,103,191.0,1728,17.233469631993618,False,False,0.10122968905109285
