feature_space,k,reference_seed,compared_seed,ARI,NMI,is_stability_sample,sample_n,notes
text_768_original,8,42,7,0.4887345979317267,0.6204099213526508,True,50000,deterministic stability sample
text_768_original,8,42,13,0.3831727713741792,0.5407837585739302,True,50000,deterministic stability sample
text_768_original,8,42,21,0.5110916741741638,0.6178423813084056,True,50000,deterministic stability sample
text_768_original,8,42,100,0.6011721876097571,0.6819177254279203,True,50000,deterministic stability sample
text_768_original,12,42,7,0.5260585195347582,0.642900219124499,True,50000,deterministic stability sample
text_768_original,12,42,13,0.4838041237091788,0.6172868308430226,True,50000,deterministic stability sample
text_768_original,12,42,21,0.49199180261392494,0.6422551508015276,True,50000,deterministic stability sample
text_768_original,12,42,100,0.4538053944857978,0.6023216686073787,True,50000,deterministic stability sample
text_768_original,16,42,7,0.4387648337462645,0.6335930133651537,True,50000,deterministic stability sample
text_768_original,16,42,13,0.4077217656483293,0.611244187738541,True,50000,deterministic stability sample
text_768_original,16,42,21,0.4565067600636276,0.632337806585857,True,50000,deterministic stability sample
text_768_original,16,42,100,0.45570616329546076,0.632097502000395,True,50000,deterministic stability sample
text_768_original,24,42,7,0.4132425109752955,0.6363952445741567,True,50000,deterministic stability sample
text_768_original,24,42,13,0.40761118619031667,0.6335946980638197,True,50000,deterministic stability sample
text_768_original,24,42,21,0.3511465257646521,0.5979641509950218,True,50000,deterministic stability sample
text_768_original,24,42,100,0.3728606443422749,0.6117387059046859,True,50000,deterministic stability sample
text_768_original,32,42,7,0.4056896998121297,0.6426086787768825,True,50000,deterministic stability sample
text_768_original,32,42,13,0.3593652851191474,0.6301942918248857,True,50000,deterministic stability sample
text_768_original,32,42,21,0.35612721241342116,0.6118546439303474,True,50000,deterministic stability sample
text_768_original,32,42,100,0.4155702059264695,0.664058082857237,True,50000,deterministic stability sample
text_768_original,40,42,7,0.40195435218974535,0.6575054870242506,True,50000,deterministic stability sample
text_768_original,40,42,13,0.40579276180132984,0.6506027757090244,True,50000,deterministic stability sample
text_768_original,40,42,21,0.37432523132236994,0.6327011579873829,True,50000,deterministic stability sample
text_768_original,40,42,100,0.3565666506848836,0.6258334494235945,True,50000,deterministic stability sample
text_768_original,48,42,7,0.38306611242956745,0.6543573052850244,True,50000,deterministic stability sample
text_768_original,48,42,13,0.36825879905176334,0.6470143655970231,True,50000,deterministic stability sample
text_768_original,48,42,21,0.40222079352970747,0.6689369927055376,True,50000,deterministic stability sample
text_768_original,48,42,100,0.3660882808013544,0.6368994967779757,True,50000,deterministic stability sample
text_768_original,64,42,7,0.3808807537774467,0.6689524388908314,True,50000,deterministic stability sample
text_768_original,64,42,13,0.3810929156991139,0.667350178993564,True,50000,deterministic stability sample
text_768_original,64,42,21,0.380819648283317,0.6688536838284959,True,50000,deterministic stability sample
text_768_original,64,42,100,0.4026101079763693,0.6792081205495849,True,50000,deterministic stability sample
text_768_original,96,42,7,0.41840599142573826,0.7005264547908059,True,50000,deterministic stability sample
text_768_original,96,42,13,0.3758467598082411,0.6805608785095004,True,50000,deterministic stability sample
text_768_original,96,42,21,0.4037570398780471,0.68698127305482,True,50000,deterministic stability sample
text_768_original,96,42,100,0.4141703532783878,0.690227518836695,True,50000,deterministic stability sample
text_pca64_only,8,42,7,0.16024987970817725,0.21876980952727618,True,50000,deterministic stability sample
text_pca64_only,8,42,13,0.12426186885967254,0.2078627260461213,True,50000,deterministic stability sample
text_pca64_only,8,42,21,0.058629125950350296,0.10243397976639745,True,50000,deterministic stability sample
text_pca64_only,8,42,100,0.1092578051636278,0.1990408689581055,True,50000,deterministic stability sample
text_pca64_only,12,42,7,0.13377335032394572,0.2507332271145413,True,50000,deterministic stability sample
text_pca64_only,12,42,13,0.15165239940553782,0.30596405009703004,True,50000,deterministic stability sample
text_pca64_only,12,42,21,0.17886906072371608,0.2836209711120197,True,50000,deterministic stability sample
text_pca64_only,12,42,100,0.16623115919535697,0.29669298258515564,True,50000,deterministic stability sample
text_pca64_only,16,42,7,0.25207868242267395,0.401848710104015,True,50000,deterministic stability sample
text_pca64_only,16,42,13,0.17384434325339054,0.35793165658158665,True,50000,deterministic stability sample
text_pca64_only,16,42,21,0.20052788594038787,0.3491306744751888,True,50000,deterministic stability sample
text_pca64_only,16,42,100,0.19068255351589586,0.36470139496696913,True,50000,deterministic stability sample
text_pca64_only,24,42,7,0.23394716053763093,0.43901986115619746,True,50000,deterministic stability sample
text_pca64_only,24,42,13,0.24035438777872573,0.4360427479055259,True,50000,deterministic stability sample
text_pca64_only,24,42,21,0.23559065997419515,0.42987229691610596,True,50000,deterministic stability sample
text_pca64_only,24,42,100,0.20602709044705078,0.40176069271964127,True,50000,deterministic stability sample
text_pca64_only,32,42,7,0.2741870525197102,0.4745655339773559,True,50000,deterministic stability sample
text_pca64_only,32,42,13,0.3308620202071922,0.5287708578770981,True,50000,deterministic stability sample
text_pca64_only,32,42,21,0.2727805586055336,0.4883083413308261,True,50000,deterministic stability sample
text_pca64_only,32,42,100,0.32325437668741047,0.5086180007559762,True,50000,deterministic stability sample
text_pca64_only,40,42,7,0.4097197795261519,0.5784979174775097,True,50000,deterministic stability sample
text_pca64_only,40,42,13,0.38595093540939174,0.5924694799856929,True,50000,deterministic stability sample
text_pca64_only,40,42,21,0.41334155608874473,0.6018067628682036,True,50000,deterministic stability sample
text_pca64_only,40,42,100,0.4059713362422512,0.5874299955687978,True,50000,deterministic stability sample
text_pca64_only,48,42,7,0.3912938545312506,0.6046004306499732,True,50000,deterministic stability sample
text_pca64_only,48,42,13,0.43174882701636413,0.6140583373898468,True,50000,deterministic stability sample
text_pca64_only,48,42,21,0.40254079317236646,0.6020929888248735,True,50000,deterministic stability sample
text_pca64_only,48,42,100,0.3937038759712659,0.5944165260071879,True,50000,deterministic stability sample
text_pca64_only,64,42,7,0.4006530284127565,0.614908960767895,True,50000,deterministic stability sample
text_pca64_only,64,42,13,0.37898867643375844,0.608172404643897,True,50000,deterministic stability sample
text_pca64_only,64,42,21,0.366706938433189,0.6084873280037735,True,50000,deterministic stability sample
text_pca64_only,64,42,100,0.3662697223298156,0.5927235935462439,True,50000,deterministic stability sample
text_pca64_only,96,42,7,0.37886995009311264,0.6327990219217691,True,50000,deterministic stability sample
text_pca64_only,96,42,13,0.42886464248465966,0.6595075409934196,True,50000,deterministic stability sample
text_pca64_only,96,42,21,0.4082934164936348,0.6463612224203148,True,50000,deterministic stability sample
text_pca64_only,96,42,100,0.4117608708402025,0.6485879314457418,True,50000,deterministic stability sample
text_pca64_lexical,8,42,7,0.11863995834503542,0.20968832662713832,True,50000,deterministic stability sample
text_pca64_lexical,8,42,13,0.17680281258886898,0.30113781624677455,True,50000,deterministic stability sample
text_pca64_lexical,8,42,21,0.10858814638410161,0.22118804238827885,True,50000,deterministic stability sample
text_pca64_lexical,8,42,100,0.14795134161233414,0.23827001108401424,True,50000,deterministic stability sample
text_pca64_lexical,12,42,7,0.11131854264897013,0.23452574777049082,True,50000,deterministic stability sample
text_pca64_lexical,12,42,13,0.12310946551988015,0.25035104150121973,True,50000,deterministic stability sample
text_pca64_lexical,12,42,21,0.11712952456287477,0.27038589450028294,True,50000,deterministic stability sample
text_pca64_lexical,12,42,100,0.1315659710119232,0.29060762588480704,True,50000,deterministic stability sample
text_pca64_lexical,16,42,7,0.1940348838179129,0.3591106896253209,True,50000,deterministic stability sample
text_pca64_lexical,16,42,13,0.19725124816116638,0.388305809396968,True,50000,deterministic stability sample
text_pca64_lexical,16,42,21,0.1973916207064069,0.36558401788597517,True,50000,deterministic stability sample
text_pca64_lexical,16,42,100,0.17038196560088278,0.3420456549660917,True,50000,deterministic stability sample
text_pca64_lexical,24,42,7,0.27834478331291995,0.4765873014081292,True,50000,deterministic stability sample
text_pca64_lexical,24,42,13,0.255107830523136,0.4669156984483136,True,50000,deterministic stability sample
text_pca64_lexical,24,42,21,0.24575648710140854,0.4650054811204562,True,50000,deterministic stability sample
text_pca64_lexical,24,42,100,0.2980088009905363,0.4997626036105708,True,50000,deterministic stability sample
text_pca64_lexical,32,42,7,0.3525193506983939,0.5323981061547978,True,50000,deterministic stability sample
text_pca64_lexical,32,42,13,0.35583884431825097,0.5516003246355793,True,50000,deterministic stability sample
text_pca64_lexical,32,42,21,0.3059988391876151,0.5258393407634602,True,50000,deterministic stability sample
text_pca64_lexical,32,42,100,0.31397892768471136,0.5346390986495082,True,50000,deterministic stability sample
text_pca64_lexical,40,42,7,0.39666427851157476,0.5885551623802041,True,50000,deterministic stability sample
text_pca64_lexical,40,42,13,0.38698089400248914,0.5840125117697662,True,50000,deterministic stability sample
text_pca64_lexical,40,42,21,0.3400413670796782,0.5640163335482417,True,50000,deterministic stability sample
text_pca64_lexical,40,42,100,0.355124570043953,0.5460643931778194,True,50000,deterministic stability sample
text_pca64_lexical,48,42,7,0.355324540774682,0.5774516011847614,True,50000,deterministic stability sample
text_pca64_lexical,48,42,13,0.3534046553549899,0.5751890743830392,True,50000,deterministic stability sample
text_pca64_lexical,48,42,21,0.3611980373930348,0.5946239572996579,True,50000,deterministic stability sample
text_pca64_lexical,48,42,100,0.4019807918457179,0.5969261689260651,True,50000,deterministic stability sample
