feature_space,algorithm,k,fit_n_rows,eval_n_rows,coverage_pct,n_clusters,silhouette_cosine,silhouette_euclidean,dbi,calinski_harabasz,inertia,largest_cluster_pct,top3_cluster_pct,top5_cluster_pct,min_cluster_size,median_cluster_size,max_cluster_size,normalized_entropy,gini,n_clusters_lt_100,n_clusters_lt_500,notes
text_768_original,MiniBatchKMeans,8,100000,10000,100.0,8,0.05890003591775894,0.04224839434027672,3.2432923602444887,479.65473037083257,3866173.25,17.07,46.021,72.37700000000001,5593,13178.0,17070,0.9807420069112108,0.14233249999999997,0,0,low_interpretability_clusters=0;publisher_warnings=1;stock_warnings=0
text_768_original,MiniBatchKMeans,12,100000,10000,100.0,12,0.057228509336709976,0.03612060099840164,3.5800947607448688,349.4932337790756,3729003.25,10.954,31.839000000000002,51.211,4083,9325.5,10954,0.9835286918084966,0.1474283333333335,0,0,low_interpretability_clusters=0;publisher_warnings=1;stock_warnings=0
text_768_original,MiniBatchKMeans,16,100000,10000,100.0,16,0.06323156505823135,0.041954588145017624,3.085353016192505,299.0481081020524,3563511.75,10.007000000000001,26.99,43.382,1205,6411.0,10007,0.974127415213405,0.19855124999999996,0,0,low_interpretability_clusters=0;publisher_warnings=4;stock_warnings=0
text_768_original,MiniBatchKMeans,24,100000,10000,100.0,24,0.07555592060089111,0.04838157072663307,3.39942991635756,224.3130550424934,3413352.5,6.9559999999999995,19.641000000000002,30.553,1276,4318.0,6956,0.9777841309328109,0.19933583333333327,0,0,low_interpretability_clusters=3;publisher_warnings=6;stock_warnings=0
text_768_original,MiniBatchKMeans,32,100000,10000,100.0,32,0.08357007056474686,0.05817271023988724,3.228854212298808,186.21540876739013,3283249.0,6.506,16.304,24.693,633,2963.5,6506,0.9779618694513146,0.21147874999999994,0,0,low_interpretability_clusters=0;publisher_warnings=8;stock_warnings=0
text_768_original,MiniBatchKMeans,40,100000,10000,100.0,40,0.08339798450469971,0.05494950711727142,3.142795655289086,160.65326835500986,3180687.0,5.098,13.809,21.325,267,2535.0,5098,0.9722421521207354,0.2479175,0,1,low_interpretability_clusters=3;publisher_warnings=14;stock_warnings=0
text_768_original,MiniBatchKMeans,48,100000,10000,100.0,48,0.07603605091571808,0.048978015780448914,3.220168275655585,138.43963355116338,3141272.75,4.2090000000000005,11.068,16.619999999999997,269,2115.5,4209,0.9832343797982998,0.1887525000000001,0,1,low_interpretability_clusters=0;publisher_warnings=16;stock_warnings=0
text_768_original,MiniBatchKMeans,64,100000,10000,100.0,64,0.08320864289999008,0.054218243807554245,3.2042239608950904,113.03179521378411,3023025.25,3.012,7.981000000000001,12.479,210,1634.5,3012,0.985340310825257,0.18730812499999994,0,1,low_interpretability_clusters=1;publisher_warnings=19;stock_warnings=0
text_768_original,MiniBatchKMeans,96,100000,10000,100.0,96,0.06823867559432983,0.04737010970711708,3.146970140363328,83.7527795292225,2883070.75,2.077,5.7459999999999996,9.215,191,1017.0,2077,0.9854238497858809,0.20075770833333317,0,5,low_interpretability_clusters=0;publisher_warnings=39;stock_warnings=0
text_pca64_only,MiniBatchKMeans,8,100000,10000,100.0,8,0.04365650936961174,-0.02990991808474064,5.414027366655432,98.88552222031484,5998279.0,22.356,57.67099999999999,79.586,4004,10957.5,22356,0.9450046075189746,0.2644025000000001,0,0,low_interpretability_clusters=1;publisher_warnings=1;stock_warnings=0
