row_index,label,seed
4,25,100
6,5,100
7,19,100
8,19,100
12,2,100
21,19,100
23,7,100
24,20,100
27,27,100
32,30,100
33,27,100
34,9,100
35,23,100
39,19,100
40,19,100
41,30,100
49,2,100
52,2,100
53,2,100
54,9,100
62,19,100
69,16,100
70,11,100
72,13,100
73,11,100
75,21,100
80,5,100
83,14,100
85,10,100
86,8,100
87,7,100
88,19,100
95,30,100
97,19,100
98,19,100
101,30,100
102,19,100
103,2,100
104,3,100
106,23,100
107,7,100
108,2,100
109,19,100
110,10,100
114,9,100
115,19,100
119,20,100
120,3,100
122,9,100
124,5,100
127,26,100
128,2,100
130,10,100
131,2,100
134,5,100
135,19,100
137,19,100
140,11,100
142,16,100
144,11,100
147,17,100
149,19,100
150,11,100
151,24,100
152,14,100
156,10,100
158,9,100
160,3,100
161,7,100
167,26,100
170,30,100
172,3,100
173,7,100
175,25,100
176,5,100
179,17,100
180,21,100
182,26,100
186,1,100
187,16,100
190,13,100
191,9,100
194,23,100
195,4,100
196,11,100
197,14,100
198,14,100
199,27,100
202,7,100
208,22,100
210,19,100
212,22,100
216,14,100
219,7,100
221,9,100
222,19,100
223,19,100
224,11,100
225,22,100
226,14,100
231,14,100
237,14,100
239,10,100
241,21,100
242,7,100
245,11,100
248,8,100
249,20,100
250,8,100
251,20,100
253,11,100
256,22,100
259,10,100
261,7,100
262,7,100
264,23,100
265,10,100
266,7,100
267,8,100
268,8,100
269,7,100
270,16,100
271,30,100
272,16,100
273,14,100
274,20,100
277,30,100
278,8,100
279,7,100
280,17,100
283,1,100
285,28,100
288,11,100
291,2,100
292,14,100
293,10,100
295,3,100
297,23,100
300,10,100
304,30,100
305,27,100
309,21,100
312,26,100
313,21,100
314,30,100
321,2,100
323,28,100
325,16,100
326,1,100
328,13,100
330,24,100
331,8,100
332,23,100
333,7,100
335,17,100
341,1,100
342,0,100
344,7,100
345,25,100
347,11,100
351,4,100
353,14,100
354,9,100
355,19,100
356,26,100
359,25,100
362,5,100
365,3,100
369,5,100
373,22,100
374,1,100
375,6,100
378,4,100
379,23,100
380,24,100
381,7,100
383,10,100
385,22,100
394,3,100
396,11,100
398,3,100
399,20,100
400,30,100
401,2,100
402,2,100
406,25,100
407,10,100
410,30,100
414,23,100
416,12,100
417,3,100
419,11,100
421,28,100
422,5,100
423,13,100
428,30,100
429,16,100
430,10,100
431,14,100
433,9,100
435,19,100
436,3,100
437,2,100
439,20,100
441,7,100
444,1,100
446,17,100
447,16,100
448,16,100
450,7,100
452,14,100
454,1,100
456,22,100
457,13,100
458,7,100
460,13,100
462,20,100
466,22,100
467,11,100
469,19,100
470,26,100
471,20,100
472,25,100
473,25,100
474,5,100
475,13,100
476,3,100
477,17,100
478,14,100
481,8,100
482,2,100
483,5,100
484,26,100
487,11,100
488,8,100
489,17,100
491,17,100
494,17,100
499,18,100
501,16,100
502,30,100
504,26,100
505,16,100
506,17,100
508,28,100
510,24,100
512,23,100
516,3,100
519,28,100
520,11,100
522,27,100
524,23,100
525,3,100
529,21,100
532,17,100
536,13,100
539,18,100
541,23,100
542,16,100
543,9,100
545,18,100
548,23,100
549,16,100
550,26,100
554,16,100
556,5,100
561,18,100
562,23,100
563,3,100
564,7,100
568,1,100
572,23,100
573,2,100
574,16,100
575,14,100
578,16,100
581,2,100
582,20,100
585,23,100
586,31,100
588,31,100
590,31,100
592,31,100
593,31,100
598,31,100
600,31,100
601,31,100
602,31,100
604,31,100
611,25,100
612,20,100
614,2,100
616,16,100
618,1,100
622,13,100
624,14,100
625,10,100
627,31,100
628,30,100
629,11,100
630,31,100
631,30,100
632,31,100
640,18,100
642,2,100
643,16,100
644,10,100
646,30,100
647,4,100
651,10,100
652,23,100
653,21,100
655,1,100
659,22,100
662,31,100
664,24,100
665,3,100
666,1,100
669,31,100
672,2,100
673,22,100
674,26,100
675,16,100
676,30,100
677,16,100
679,0,100
680,30,100
681,25,100
685,3,100
686,23,100
687,2,100
688,8,100
689,30,100
690,21,100
695,11,100
696,1,100
697,11,100
698,20,100
700,7,100
701,11,100
702,24,100
703,22,100
708,23,100
709,10,100
711,13,100
712,11,100
713,10,100
716,0,100
718,15,100
720,25,100
724,10,100
725,22,100
726,10,100
729,11,100
730,11,100
732,11,100
736,10,100
738,10,100
745,1,100
748,28,100
749,11,100
751,7,100
752,10,100
754,20,100
756,15,100
758,7,100
759,12,100
762,20,100
763,18,100
766,20,100
771,0,100
772,7,100
773,13,100
774,1,100
775,10,100
776,22,100
777,27,100
779,20,100
780,20,100
782,0,100
784,10,100
788,5,100
790,17,100
793,0,100
795,10,100
800,2,100
802,25,100
803,0,100
804,10,100
807,22,100
808,10,100
809,27,100
811,14,100
812,20,100
816,26,100
820,7,100
821,10,100
822,16,100
828,10,100
829,20,100
831,20,100
833,23,100
836,0,100
838,22,100
839,10,100
842,20,100
843,0,100
845,14,100
848,0,100
849,4,100
851,0,100
852,14,100
853,29,100
856,23,100
862,8,100
866,2,100
867,2,100
870,16,100
871,23,100
872,14,100
873,7,100
874,0,100
875,26,100
876,2,100
