row_index,label,seed
4,33,42
6,30,42
7,1,42
8,1,42
12,45,42
21,1,42
23,27,42
24,45,42
27,40,42
32,32,42
33,38,42
34,28,42
35,41,42
39,1,42
40,1,42
41,32,42
49,5,42
52,5,42
53,5,42
54,44,42
62,1,42
69,29,42
70,30,42
72,16,42
73,30,42
75,2,42
80,7,42
83,34,42
85,23,42
86,34,42
87,34,42
88,1,42
95,32,42
97,1,42
98,1,42
101,20,42
102,1,42
103,27,42
104,20,42
106,13,42
107,2,42
108,5,42
109,1,42
110,33,42
114,28,42
115,1,42
119,5,42
120,32,42
122,0,42
124,4,42
127,28,42
128,2,42
130,20,42
131,5,42
134,20,42
135,1,42
137,1,42
140,30,42
142,33,42
144,12,42
147,11,42
149,1,42
150,30,42
151,10,42
152,4,42
156,23,42
158,44,42
160,3,42
161,2,42
167,23,42
170,32,42
172,32,42
173,2,42
175,7,42
176,4,42
179,27,42
180,14,42
182,47,42
186,8,42
187,33,42
190,16,42
191,4,42
194,13,42
195,24,42
196,30,42
197,23,42
198,4,42
199,38,42
202,27,42
208,30,42
210,1,42
212,23,42
216,4,42
219,4,42
221,4,42
222,1,42
223,1,42
224,30,42
225,38,42
226,4,42
231,4,42
237,6,42
239,20,42
241,14,42
242,4,42
245,30,42
248,34,42
249,33,42
250,34,42
251,29,42
253,30,42
256,38,42
259,23,42
261,34,42
262,4,42
264,13,42
265,20,42
266,19,42
267,34,42
268,34,42
269,4,42
270,23,42
271,32,42
272,6,42
273,2,42
274,0,42
277,32,42
278,34,42
279,34,42
280,11,42
283,8,42
285,18,42
288,2,42
291,7,42
292,34,42
293,23,42
295,6,42
297,13,42
300,20,42
304,24,42
305,40,42
309,2,42
312,4,42
313,14,42
314,20,42
321,5,42
323,18,42
325,3,42
326,8,42
328,16,42
330,10,42
331,37,42
332,13,42
333,34,42
335,3,42
341,4,42
342,45,42
344,4,42
345,23,42
347,30,42
351,12,42
353,4,42
354,4,42
355,1,42
356,4,42
359,7,42
362,27,42
365,5,42
369,27,42
373,25,42
374,8,42
375,21,42
378,19,42
379,2,42
380,10,42
381,34,42
383,23,42
385,38,42
394,23,42
396,30,42
398,29,42
399,9,42
400,32,42
401,5,42
402,5,42
406,7,42
407,29,42
410,32,42
414,13,42
416,43,42
417,22,42
419,30,42
421,18,42
422,24,42
423,16,42
428,32,42
429,23,42
430,23,42
431,4,42
433,4,42
435,1,42
436,0,42
437,5,42
439,0,42
441,25,42
444,2,42
446,3,42
447,47,42
448,22,42
450,34,42
452,23,42
454,8,42
456,38,42
457,16,42
458,44,42
460,46,42
462,9,42
466,38,42
467,30,42
469,1,42
470,28,42
471,23,42
472,27,42
473,7,42
474,24,42
475,31,42
476,23,42
477,11,42
478,33,42
481,34,42
482,0,42
483,24,42
484,28,42
487,30,42
488,37,42
489,11,42
491,11,42
494,11,42
499,19,42
501,41,42
502,6,42
504,28,42
505,45,42
506,11,42
508,18,42
510,10,42
512,13,42
516,3,42
519,18,42
520,30,42
522,40,42
524,13,42
525,20,42
529,14,42
532,11,42
536,16,42
539,31,42
541,13,42
542,46,42
543,23,42
545,43,42
548,2,42
549,29,42
550,28,42
554,29,42
556,31,42
561,43,42
562,13,42
563,6,42
564,41,42
568,8,42
572,13,42
573,27,42
574,6,42
575,33,42
578,12,42
581,27,42
582,0,42
585,13,42
586,26,42
588,26,42
590,26,42
592,26,42
593,26,42
598,26,42
600,26,42
601,26,42
602,26,42
604,26,42
611,7,42
612,27,42
614,5,42
616,28,42
618,30,42
622,16,42
624,4,42
625,20,42
627,26,42
628,26,42
629,22,42
630,26,42
631,26,42
632,26,42
640,43,42
642,5,42
643,22,42
644,29,42
646,26,42
647,43,42
651,2,42
652,2,42
653,14,42
655,8,42
659,13,42
662,26,42
664,10,42
665,6,42
666,4,42
669,26,42
672,5,42
673,9,42
674,29,42
675,6,42
676,26,42
677,6,42
679,15,42
680,26,42
681,27,42
685,2,42
686,3,42
687,5,42
688,3,42
689,32,42
690,14,42
695,30,42
696,8,42
697,30,42
698,18,42
700,9,42
701,30,42
702,10,42
703,23,42
708,3,42
709,2,42
711,24,42
712,30,42
713,47,42
716,45,42
718,27,42
720,29,42
724,29,42
725,9,42
726,47,42
729,30,42
730,30,42
732,30,42
736,5,42
738,20,42
745,9,42
748,9,42
749,9,42
751,27,42
752,27,42
754,0,42
756,17,42
758,37,42
759,24,42
762,0,42
763,23,42
766,15,42
771,9,42
772,37,42
773,24,42
774,9,42
775,47,42
776,9,42
777,40,42
779,15,42
780,15,42
782,45,42
784,20,42
788,24,42
790,11,42
793,45,42
795,20,42
800,15,42
802,27,42
803,15,42
804,47,42
807,38,42
808,0,42
809,6,42
811,15,42
812,15,42
816,28,42
820,9,42
821,15,42
822,45,42
828,15,42
829,15,42
831,15,42
833,2,42
836,15,42
838,43,42
839,47,42
842,15,42
843,45,42
845,9,42
848,9,42
849,19,42
851,15,42
852,3,42
853,39,42
856,19,42
862,34,42
866,45,42
867,45,42
870,15,42
871,41,42
872,41,42
873,34,42
874,15,42
875,2,42
876,45,42
878,20,42
879,15,42
880,40,42
883,15,42
884,15,42
885,15,42
886,39,42
890,34,42
892,15,42
895,6,42
896,42,42
897,43,42
898,40,42
902,6,42
904,22,42
905,5,42
906,29,42
911,9,42
913,2,42
914,15,42
915,15,42
920,15,42
921,25,42
923,22,42
926,11,42
928,47,42
930,9,42
931,28,42
933,47,42
934,0,42
935,0,42
936,4,42
938,1,42
940,1,42
942,23,42
943,37,42
945,11,42
948,28,42
949,46,42
951,44,42
953,34,42
954,25,42
955,1,42
957,1,42
959,20,42
960,47,42
962,44,42
963,37,42
964,6,42
965,38,42
966,30,42
967,37,42
970,5,42
971,37,42
976,0,42
978,43,42
979,31,42
980,44,42
985,31,42
986,32,42
988,0,42
989,43,42
994,30,42
995,27,42
996,8,42
998,38,42
999,20,42
1000,6,42
1001,16,42
1002,11,42
1003,10,42
1005,25,42
1012,27,42
1013,44,42
1018,27,42
1019,23,42
1020,1,42
1021,11,42
1022,23,42
1024,34,42
1025,4,42
1028,11,42
1029,18,42
1030,8,42
1031,33,42
1032,38,42
1033,46,42
1034,16,42
1035,30,42
1036,10,42
1038,1,42
1039,5,42
1040,40,42
1041,42,42
1043,27,42
1045,27,42
1048,9,42
1050,30,42
1053,27,42
1054,46,42
1057,28,42
1059,11,42
1060,1,42
1061,46,42
1064,1,42
1065,37,42
1068,3,42
1070,18,42
1072,38,42
1075,30,42
1077,4,42
1078,27,42
1081,4,42
1087,11,42
1088,46,42
1090,32,42
1091,28,42
1092,0,42
1096,27,42
1097,32,42
1098,32,42
1099,32,42
1101,33,42
1106,6,42
1108,18,42
1114,30,42
1116,4,42
1117,32,42
1118,28,42
1121,9,42
1122,40,42
1123,11,42
1124,12,42
1126,1,42
1127,19,42
1131,33,42
1137,40,42
1138,33,42
1139,28,42
1141,46,42
1146,12,42
1148,37,42
1152,20,42
1154,0,42
1155,44,42
1162,16,42
1163,16,42
1164,0,42
1165,22,42
1166,38,42
1167,17,42
1169,17,42
1170,17,42
1171,29,42
1173,17,42
1174,17,42
1175,17,42
1176,17,42
1179,17,42
1180,17,42
1181,17,42
1182,17,42
1185,17,42
1186,17,42
1187,1,42
1189,33,42
1190,28,42
1192,6,42
1193,17,42
1194,17,42
1196,29,42
1197,8,42
1199,33,42
1200,29,42
1202,29,42
1203,43,42
1205,29,42
1213,33,42
1215,17,42
1216,17,42
1217,43,42
1219,12,42
1220,11,42
1221,45,42
1222,41,42
1224,46,42
1226,33,42
1227,8,42
1228,34,42
1230,29,42
1232,38,42
1235,29,42
1241,10,42
1246,12,42
1247,20,42
1248,8,42
1250,10,42
1253,0,42
1255,21,42
1256,35,42
1257,16,42
1260,29,42
1261,8,42
1262,9,42
1266,8,42
1270,10,42
1272,23,42
1274,35,42
1275,8,42
1276,16,42
1277,10,42
1278,44,42
1281,44,42
1282,8,42
1285,44,42
1288,44,42
1289,44,42
1290,43,42
1291,44,42
1292,44,42
1295,44,42
1296,44,42
1297,44,42
1298,44,42
1300,44,42
1302,28,42
1305,23,42
1308,23,42
1309,23,42
1311,37,42
1314,23,42
1315,37,42
1317,40,42
1318,24,42
1319,23,42
1322,33,42
1323,21,42
1325,43,42
1326,9,42
1327,37,42
1328,23,42
1330,23,42
1332,29,42
1334,23,42
1340,9,42
1343,19,42
1346,16,42
1347,43,42
1348,23,42
1349,23,42
1350,5,42
1351,41,42
1356,23,42
1357,11,42
1361,31,42
1362,23,42
1364,11,42
1366,29,42
1368,1,42
1370,46,42
1371,3,42
1372,46,42
1373,6,42
1380,28,42
1384,13,42
1385,41,42
1386,22,42
1387,47,42
1388,41,42
1389,0,42
1390,43,42
1392,13,42
1393,41,42
1394,0,42
1397,45,42
1399,28,42
1400,42,42
1402,4,42
1404,46,42
1406,22,42
1409,3,42
1410,22,42
1413,13,42
1414,2,42
1418,0,42
1419,1,42
1422,2,42
1424,28,42
1427,45,42
1428,23,42
1430,45,42
1433,11,42
1434,20,42
1437,33,42
1438,33,42
1441,25,42
1442,19,42
1443,33,42
1444,42,42
1445,25,42
1447,17,42
1448,22,42
1449,25,42
1452,25,42
1453,35,42
1456,25,42
1457,35,42
1458,35,42
1463,25,42
1464,35,42
1465,40,42
1469,35,42
1470,21,42
1472,21,42
1477,44,42
1478,6,42
1479,21,42
1480,21,42
1482,3,42
1483,46,42
1484,6,42
1485,28,42
1486,21,42
1489,8,42
1490,25,42
1491,19,42
1498,22,42
1499,12,42
1500,45,42
1501,44,42
1503,45,42
1506,40,42
1507,17,42
1512,27,42
1513,41,42
1517,19,42
1518,9,42
1519,27,42
1520,21,42
1522,33,42
1523,33,42
1529,25,42
1531,14,42
1534,35,42
1536,25,42
1540,14,42
1543,14,42
1546,37,42
1549,25,42
1550,25,42
1551,25,42
1554,25,42
1556,25,42
1557,14,42
1558,28,42
1563,2,42
1566,23,42
1568,28,42
1570,17,42
1572,28,42
1574,20,42
1575,44,42
1576,41,42
1578,17,42
1579,17,42
1580,5,42
1581,25,42
1583,27,42
1584,17,42
1586,38,42
1588,17,42
1590,17,42
1592,17,42
1594,17,42
1598,25,42
1599,17,42
1602,17,42
1603,17,42
1604,29,42
1606,17,42
1608,1,42
1612,17,42
1618,38,42
1621,28,42
1623,41,42
1624,17,42
1627,17,42
1632,17,42
1633,17,42
1638,17,42
1639,17,42
1640,17,42
1641,17,42
1644,17,42
1647,17,42
1653,17,42
1654,17,42
1655,2,42
1661,4,42
1664,1,42
1666,44,42
1668,36,42
1670,2,42
1671,0,42
1675,33,42
1678,18,42
1679,0,42
1681,8,42
1682,38,42
1683,33,42
1684,16,42
1685,10,42
1689,30,42
1692,23,42
1696,9,42
1697,38,42
1698,38,42
1699,33,42
1709,23,42
1710,23,42
1714,19,42
1715,33,42
1717,7,42
1718,30,42
1720,33,42
1721,30,42
1723,4,42
1726,27,42
1727,33,42
1728,46,42
1731,0,42
1734,28,42
1735,45,42
1736,33,42
1738,28,42
1739,8,42
1741,12,42
1742,16,42
1743,13,42
1744,33,42
1747,4,42
1748,28,42
1749,22,42
1751,28,42
1752,32,42
1758,33,42
1760,33,42
1761,37,42
1762,37,42
1763,0,42
1764,23,42
1768,33,42
1773,32,42
1784,23,42
1786,24,42
1787,8,42
1788,31,42
1791,9,42
1792,0,42
1793,23,42
1795,22,42
1798,4,42
1801,8,42
1804,4,42
1805,41,42
1807,10,42
1810,34,42
1811,22,42
1812,23,42
1815,24,42
1817,46,42
1818,6,42
1819,20,42
1820,2,42
1822,13,42
1824,13,42
1826,22,42
1827,1,42
1829,24,42
1830,18,42
1834,10,42
1836,23,42
1840,33,42
1841,41,42
1842,24,42
1846,14,42
1848,34,42
1850,22,42
1851,41,42
1852,18,42
1853,13,42
1854,16,42
1855,10,42
1856,0,42
1857,5,42
1858,28,42
1859,27,42
1860,6,42
1862,0,42
