row_index,label,algorithm,feature_space
23,0,clara_k16,text_pca64_all_aux_w010
39,2,clara_k16,text_pca64_all_aux_w010
53,1,clara_k16,text_pca64_all_aux_w010
70,9,clara_k16,text_pca64_all_aux_w010
87,8,clara_k16,text_pca64_all_aux_w010
88,2,clara_k16,text_pca64_all_aux_w010
97,2,clara_k16,text_pca64_all_aux_w010
101,1,clara_k16,text_pca64_all_aux_w010
102,2,clara_k16,text_pca64_all_aux_w010
103,2,clara_k16,text_pca64_all_aux_w010
106,14,clara_k16,text_pca64_all_aux_w010
114,1,clara_k16,text_pca64_all_aux_w010
115,2,clara_k16,text_pca64_all_aux_w010
124,9,clara_k16,text_pca64_all_aux_w010
127,0,clara_k16,text_pca64_all_aux_w010
134,12,clara_k16,text_pca64_all_aux_w010
135,2,clara_k16,text_pca64_all_aux_w010
142,12,clara_k16,text_pca64_all_aux_w010
147,0,clara_k16,text_pca64_all_aux_w010
149,2,clara_k16,text_pca64_all_aux_w010
151,10,clara_k16,text_pca64_all_aux_w010
158,9,clara_k16,text_pca64_all_aux_w010
161,8,clara_k16,text_pca64_all_aux_w010
182,3,clara_k16,text_pca64_all_aux_w010
186,3,clara_k16,text_pca64_all_aux_w010
195,1,clara_k16,text_pca64_all_aux_w010
219,9,clara_k16,text_pca64_all_aux_w010
226,9,clara_k16,text_pca64_all_aux_w010
239,2,clara_k16,text_pca64_all_aux_w010
250,15,clara_k16,text_pca64_all_aux_w010
253,4,clara_k16,text_pca64_all_aux_w010
265,0,clara_k16,text_pca64_all_aux_w010
267,0,clara_k16,text_pca64_all_aux_w010
270,1,clara_k16,text_pca64_all_aux_w010
274,0,clara_k16,text_pca64_all_aux_w010
278,0,clara_k16,text_pca64_all_aux_w010
295,1,clara_k16,text_pca64_all_aux_w010
300,2,clara_k16,text_pca64_all_aux_w010
312,9,clara_k16,text_pca64_all_aux_w010
313,7,clara_k16,text_pca64_all_aux_w010
342,0,clara_k16,text_pca64_all_aux_w010
347,4,clara_k16,text_pca64_all_aux_w010
351,12,clara_k16,text_pca64_all_aux_w010
362,9,clara_k16,text_pca64_all_aux_w010
365,0,clara_k16,text_pca64_all_aux_w010
369,0,clara_k16,text_pca64_all_aux_w010
373,4,clara_k16,text_pca64_all_aux_w010
378,1,clara_k16,text_pca64_all_aux_w010
379,14,clara_k16,text_pca64_all_aux_w010
380,10,clara_k16,text_pca64_all_aux_w010
398,14,clara_k16,text_pca64_all_aux_w010
406,9,clara_k16,text_pca64_all_aux_w010
419,4,clara_k16,text_pca64_all_aux_w010
422,3,clara_k16,text_pca64_all_aux_w010
423,6,clara_k16,text_pca64_all_aux_w010
436,14,clara_k16,text_pca64_all_aux_w010
437,0,clara_k16,text_pca64_all_aux_w010
441,2,clara_k16,text_pca64_all_aux_w010
444,8,clara_k16,text_pca64_all_aux_w010
454,3,clara_k16,text_pca64_all_aux_w010
457,6,clara_k16,text_pca64_all_aux_w010
466,4,clara_k16,text_pca64_all_aux_w010
473,1,clara_k16,text_pca64_all_aux_w010
474,9,clara_k16,text_pca64_all_aux_w010
476,9,clara_k16,text_pca64_all_aux_w010
484,1,clara_k16,text_pca64_all_aux_w010
487,4,clara_k16,text_pca64_all_aux_w010
491,12,clara_k16,text_pca64_all_aux_w010
494,1,clara_k16,text_pca64_all_aux_w010
502,1,clara_k16,text_pca64_all_aux_w010
504,4,clara_k16,text_pca64_all_aux_w010
505,3,clara_k16,text_pca64_all_aux_w010
512,14,clara_k16,text_pca64_all_aux_w010
516,1,clara_k16,text_pca64_all_aux_w010
519,8,clara_k16,text_pca64_all_aux_w010
524,14,clara_k16,text_pca64_all_aux_w010
525,8,clara_k16,text_pca64_all_aux_w010
536,6,clara_k16,text_pca64_all_aux_w010
549,3,clara_k16,text_pca64_all_aux_w010
563,3,clara_k16,text_pca64_all_aux_w010
564,9,clara_k16,text_pca64_all_aux_w010
572,14,clara_k16,text_pca64_all_aux_w010
573,0,clara_k16,text_pca64_all_aux_w010
575,1,clara_k16,text_pca64_all_aux_w010
578,12,clara_k16,text_pca64_all_aux_w010
581,14,clara_k16,text_pca64_all_aux_w010
585,14,clara_k16,text_pca64_all_aux_w010
590,13,clara_k16,text_pca64_all_aux_w010
614,0,clara_k16,text_pca64_all_aux_w010
616,3,clara_k16,text_pca64_all_aux_w010
618,4,clara_k16,text_pca64_all_aux_w010
624,9,clara_k16,text_pca64_all_aux_w010
628,13,clara_k16,text_pca64_all_aux_w010
632,13,clara_k16,text_pca64_all_aux_w010
647,12,clara_k16,text_pca64_all_aux_w010
651,14,clara_k16,text_pca64_all_aux_w010
655,3,clara_k16,text_pca64_all_aux_w010
669,13,clara_k16,text_pca64_all_aux_w010
672,0,clara_k16,text_pca64_all_aux_w010
673,4,clara_k16,text_pca64_all_aux_w010
674,4,clara_k16,text_pca64_all_aux_w010
689,1,clara_k16,text_pca64_all_aux_w010
690,7,clara_k16,text_pca64_all_aux_w010
695,4,clara_k16,text_pca64_all_aux_w010
698,8,clara_k16,text_pca64_all_aux_w010
701,4,clara_k16,text_pca64_all_aux_w010
708,1,clara_k16,text_pca64_all_aux_w010
712,1,clara_k16,text_pca64_all_aux_w010
716,0,clara_k16,text_pca64_all_aux_w010
752,14,clara_k16,text_pca64_all_aux_w010
756,0,clara_k16,text_pca64_all_aux_w010
758,8,clara_k16,text_pca64_all_aux_w010
773,0,clara_k16,text_pca64_all_aux_w010
775,8,clara_k16,text_pca64_all_aux_w010
777,4,clara_k16,text_pca64_all_aux_w010
782,1,clara_k16,text_pca64_all_aux_w010
784,4,clara_k16,text_pca64_all_aux_w010
788,1,clara_k16,text_pca64_all_aux_w010
790,12,clara_k16,text_pca64_all_aux_w010
793,0,clara_k16,text_pca64_all_aux_w010
802,0,clara_k16,text_pca64_all_aux_w010
803,1,clara_k16,text_pca64_all_aux_w010
804,8,clara_k16,text_pca64_all_aux_w010
812,1,clara_k16,text_pca64_all_aux_w010
820,1,clara_k16,text_pca64_all_aux_w010
821,1,clara_k16,text_pca64_all_aux_w010
831,0,clara_k16,text_pca64_all_aux_w010
833,14,clara_k16,text_pca64_all_aux_w010
838,1,clara_k16,text_pca64_all_aux_w010
842,0,clara_k16,text_pca64_all_aux_w010
852,9,clara_k16,text_pca64_all_aux_w010
856,8,clara_k16,text_pca64_all_aux_w010
866,0,clara_k16,text_pca64_all_aux_w010
873,14,clara_k16,text_pca64_all_aux_w010
876,3,clara_k16,text_pca64_all_aux_w010
880,3,clara_k16,text_pca64_all_aux_w010
883,1,clara_k16,text_pca64_all_aux_w010
886,5,clara_k16,text_pca64_all_aux_w010
896,0,clara_k16,text_pca64_all_aux_w010
902,12,clara_k16,text_pca64_all_aux_w010
920,0,clara_k16,text_pca64_all_aux_w010
923,4,clara_k16,text_pca64_all_aux_w010
928,0,clara_k16,text_pca64_all_aux_w010
933,14,clara_k16,text_pca64_all_aux_w010
948,1,clara_k16,text_pca64_all_aux_w010
949,3,clara_k16,text_pca64_all_aux_w010
953,4,clara_k16,text_pca64_all_aux_w010
955,2,clara_k16,text_pca64_all_aux_w010
957,2,clara_k16,text_pca64_all_aux_w010
960,14,clara_k16,text_pca64_all_aux_w010
965,8,clara_k16,text_pca64_all_aux_w010
966,3,clara_k16,text_pca64_all_aux_w010
979,0,clara_k16,text_pca64_all_aux_w010
980,8,clara_k16,text_pca64_all_aux_w010
985,8,clara_k16,text_pca64_all_aux_w010
1003,10,clara_k16,text_pca64_all_aux_w010
1022,9,clara_k16,text_pca64_all_aux_w010
1025,9,clara_k16,text_pca64_all_aux_w010
1032,4,clara_k16,text_pca64_all_aux_w010
1040,2,clara_k16,text_pca64_all_aux_w010
1043,0,clara_k16,text_pca64_all_aux_w010
1045,9,clara_k16,text_pca64_all_aux_w010
1053,9,clara_k16,text_pca64_all_aux_w010
1054,9,clara_k16,text_pca64_all_aux_w010
1057,0,clara_k16,text_pca64_all_aux_w010
1059,8,clara_k16,text_pca64_all_aux_w010
1060,2,clara_k16,text_pca64_all_aux_w010
1070,8,clara_k16,text_pca64_all_aux_w010
1077,9,clara_k16,text_pca64_all_aux_w010
1091,9,clara_k16,text_pca64_all_aux_w010
1099,9,clara_k16,text_pca64_all_aux_w010
1116,9,clara_k16,text_pca64_all_aux_w010
1121,1,clara_k16,text_pca64_all_aux_w010
1122,2,clara_k16,text_pca64_all_aux_w010
1126,2,clara_k16,text_pca64_all_aux_w010
1137,2,clara_k16,text_pca64_all_aux_w010
1139,9,clara_k16,text_pca64_all_aux_w010
1146,9,clara_k16,text_pca64_all_aux_w010
1152,2,clara_k16,text_pca64_all_aux_w010
1155,0,clara_k16,text_pca64_all_aux_w010
1162,6,clara_k16,text_pca64_all_aux_w010
1165,2,clara_k16,text_pca64_all_aux_w010
1169,12,clara_k16,text_pca64_all_aux_w010
1173,2,clara_k16,text_pca64_all_aux_w010
1175,12,clara_k16,text_pca64_all_aux_w010
1176,3,clara_k16,text_pca64_all_aux_w010
1182,2,clara_k16,text_pca64_all_aux_w010
1193,3,clara_k16,text_pca64_all_aux_w010
1196,1,clara_k16,text_pca64_all_aux_w010
1199,2,clara_k16,text_pca64_all_aux_w010
1217,0,clara_k16,text_pca64_all_aux_w010
1221,4,clara_k16,text_pca64_all_aux_w010
1224,12,clara_k16,text_pca64_all_aux_w010
1230,12,clara_k16,text_pca64_all_aux_w010
1246,12,clara_k16,text_pca64_all_aux_w010
1248,3,clara_k16,text_pca64_all_aux_w010
1255,11,clara_k16,text_pca64_all_aux_w010
1256,11,clara_k16,text_pca64_all_aux_w010
1260,8,clara_k16,text_pca64_all_aux_w010
1278,12,clara_k16,text_pca64_all_aux_w010
1285,0,clara_k16,text_pca64_all_aux_w010
1309,9,clara_k16,text_pca64_all_aux_w010
1318,0,clara_k16,text_pca64_all_aux_w010
1322,2,clara_k16,text_pca64_all_aux_w010
1325,3,clara_k16,text_pca64_all_aux_w010
1330,8,clara_k16,text_pca64_all_aux_w010
1332,8,clara_k16,text_pca64_all_aux_w010
1343,12,clara_k16,text_pca64_all_aux_w010
1348,1,clara_k16,text_pca64_all_aux_w010
1349,0,clara_k16,text_pca64_all_aux_w010
1356,1,clara_k16,text_pca64_all_aux_w010
1364,12,clara_k16,text_pca64_all_aux_w010
1368,2,clara_k16,text_pca64_all_aux_w010
1370,3,clara_k16,text_pca64_all_aux_w010
1372,1,clara_k16,text_pca64_all_aux_w010
1380,9,clara_k16,text_pca64_all_aux_w010
1384,14,clara_k16,text_pca64_all_aux_w010
1387,8,clara_k16,text_pca64_all_aux_w010
1390,12,clara_k16,text_pca64_all_aux_w010
1402,12,clara_k16,text_pca64_all_aux_w010
1406,1,clara_k16,text_pca64_all_aux_w010
1413,1,clara_k16,text_pca64_all_aux_w010
1414,3,clara_k16,text_pca64_all_aux_w010
1419,2,clara_k16,text_pca64_all_aux_w010
1424,2,clara_k16,text_pca64_all_aux_w010
1430,15,clara_k16,text_pca64_all_aux_w010
1441,1,clara_k16,text_pca64_all_aux_w010
1445,1,clara_k16,text_pca64_all_aux_w010
1452,1,clara_k16,text_pca64_all_aux_w010
1458,11,clara_k16,text_pca64_all_aux_w010
