row_index,label,algorithm,feature_space
23,2,clara_k8,text_pca64_lexical_calendar
39,2,clara_k8,text_pca64_lexical_calendar
53,1,clara_k8,text_pca64_lexical_calendar
70,0,clara_k8,text_pca64_lexical_calendar
87,1,clara_k8,text_pca64_lexical_calendar
88,2,clara_k8,text_pca64_lexical_calendar
97,2,clara_k8,text_pca64_lexical_calendar
101,1,clara_k8,text_pca64_lexical_calendar
102,2,clara_k8,text_pca64_lexical_calendar
103,0,clara_k8,text_pca64_lexical_calendar
106,0,clara_k8,text_pca64_lexical_calendar
114,0,clara_k8,text_pca64_lexical_calendar
115,2,clara_k8,text_pca64_lexical_calendar
124,0,clara_k8,text_pca64_lexical_calendar
127,2,clara_k8,text_pca64_lexical_calendar
134,1,clara_k8,text_pca64_lexical_calendar
135,2,clara_k8,text_pca64_lexical_calendar
142,2,clara_k8,text_pca64_lexical_calendar
147,1,clara_k8,text_pca64_lexical_calendar
149,2,clara_k8,text_pca64_lexical_calendar
151,4,clara_k8,text_pca64_lexical_calendar
158,0,clara_k8,text_pca64_lexical_calendar
161,1,clara_k8,text_pca64_lexical_calendar
182,6,clara_k8,text_pca64_lexical_calendar
186,6,clara_k8,text_pca64_lexical_calendar
195,1,clara_k8,text_pca64_lexical_calendar
219,0,clara_k8,text_pca64_lexical_calendar
226,1,clara_k8,text_pca64_lexical_calendar
239,0,clara_k8,text_pca64_lexical_calendar
250,0,clara_k8,text_pca64_lexical_calendar
253,3,clara_k8,text_pca64_lexical_calendar
265,1,clara_k8,text_pca64_lexical_calendar
267,6,clara_k8,text_pca64_lexical_calendar
270,0,clara_k8,text_pca64_lexical_calendar
274,1,clara_k8,text_pca64_lexical_calendar
278,2,clara_k8,text_pca64_lexical_calendar
295,1,clara_k8,text_pca64_lexical_calendar
300,1,clara_k8,text_pca64_lexical_calendar
312,2,clara_k8,text_pca64_lexical_calendar
313,0,clara_k8,text_pca64_lexical_calendar
342,0,clara_k8,text_pca64_lexical_calendar
347,3,clara_k8,text_pca64_lexical_calendar
351,1,clara_k8,text_pca64_lexical_calendar
362,2,clara_k8,text_pca64_lexical_calendar
365,3,clara_k8,text_pca64_lexical_calendar
369,3,clara_k8,text_pca64_lexical_calendar
373,3,clara_k8,text_pca64_lexical_calendar
378,0,clara_k8,text_pca64_lexical_calendar
379,3,clara_k8,text_pca64_lexical_calendar
380,4,clara_k8,text_pca64_lexical_calendar
398,1,clara_k8,text_pca64_lexical_calendar
406,1,clara_k8,text_pca64_lexical_calendar
419,3,clara_k8,text_pca64_lexical_calendar
422,3,clara_k8,text_pca64_lexical_calendar
423,5,clara_k8,text_pca64_lexical_calendar
436,1,clara_k8,text_pca64_lexical_calendar
437,1,clara_k8,text_pca64_lexical_calendar
441,0,clara_k8,text_pca64_lexical_calendar
444,6,clara_k8,text_pca64_lexical_calendar
454,6,clara_k8,text_pca64_lexical_calendar
457,5,clara_k8,text_pca64_lexical_calendar
466,6,clara_k8,text_pca64_lexical_calendar
473,1,clara_k8,text_pca64_lexical_calendar
474,1,clara_k8,text_pca64_lexical_calendar
476,0,clara_k8,text_pca64_lexical_calendar
484,0,clara_k8,text_pca64_lexical_calendar
487,3,clara_k8,text_pca64_lexical_calendar
491,1,clara_k8,text_pca64_lexical_calendar
494,1,clara_k8,text_pca64_lexical_calendar
502,1,clara_k8,text_pca64_lexical_calendar
504,1,clara_k8,text_pca64_lexical_calendar
505,6,clara_k8,text_pca64_lexical_calendar
512,0,clara_k8,text_pca64_lexical_calendar
516,0,clara_k8,text_pca64_lexical_calendar
519,0,clara_k8,text_pca64_lexical_calendar
524,0,clara_k8,text_pca64_lexical_calendar
525,1,clara_k8,text_pca64_lexical_calendar
536,5,clara_k8,text_pca64_lexical_calendar
549,6,clara_k8,text_pca64_lexical_calendar
563,3,clara_k8,text_pca64_lexical_calendar
564,0,clara_k8,text_pca64_lexical_calendar
572,0,clara_k8,text_pca64_lexical_calendar
573,6,clara_k8,text_pca64_lexical_calendar
575,0,clara_k8,text_pca64_lexical_calendar
578,6,clara_k8,text_pca64_lexical_calendar
581,6,clara_k8,text_pca64_lexical_calendar
585,0,clara_k8,text_pca64_lexical_calendar
590,3,clara_k8,text_pca64_lexical_calendar
614,0,clara_k8,text_pca64_lexical_calendar
616,6,clara_k8,text_pca64_lexical_calendar
618,3,clara_k8,text_pca64_lexical_calendar
624,1,clara_k8,text_pca64_lexical_calendar
628,3,clara_k8,text_pca64_lexical_calendar
632,3,clara_k8,text_pca64_lexical_calendar
647,3,clara_k8,text_pca64_lexical_calendar
651,1,clara_k8,text_pca64_lexical_calendar
655,0,clara_k8,text_pca64_lexical_calendar
669,3,clara_k8,text_pca64_lexical_calendar
672,2,clara_k8,text_pca64_lexical_calendar
673,0,clara_k8,text_pca64_lexical_calendar
674,1,clara_k8,text_pca64_lexical_calendar
689,0,clara_k8,text_pca64_lexical_calendar
690,0,clara_k8,text_pca64_lexical_calendar
695,6,clara_k8,text_pca64_lexical_calendar
698,6,clara_k8,text_pca64_lexical_calendar
701,0,clara_k8,text_pca64_lexical_calendar
708,0,clara_k8,text_pca64_lexical_calendar
712,3,clara_k8,text_pca64_lexical_calendar
716,0,clara_k8,text_pca64_lexical_calendar
752,6,clara_k8,text_pca64_lexical_calendar
756,3,clara_k8,text_pca64_lexical_calendar
758,1,clara_k8,text_pca64_lexical_calendar
773,1,clara_k8,text_pca64_lexical_calendar
775,0,clara_k8,text_pca64_lexical_calendar
777,1,clara_k8,text_pca64_lexical_calendar
782,3,clara_k8,text_pca64_lexical_calendar
784,1,clara_k8,text_pca64_lexical_calendar
788,3,clara_k8,text_pca64_lexical_calendar
790,0,clara_k8,text_pca64_lexical_calendar
793,3,clara_k8,text_pca64_lexical_calendar
802,3,clara_k8,text_pca64_lexical_calendar
803,3,clara_k8,text_pca64_lexical_calendar
804,0,clara_k8,text_pca64_lexical_calendar
812,0,clara_k8,text_pca64_lexical_calendar
820,0,clara_k8,text_pca64_lexical_calendar
821,3,clara_k8,text_pca64_lexical_calendar
831,6,clara_k8,text_pca64_lexical_calendar
833,6,clara_k8,text_pca64_lexical_calendar
838,0,clara_k8,text_pca64_lexical_calendar
842,3,clara_k8,text_pca64_lexical_calendar
852,0,clara_k8,text_pca64_lexical_calendar
856,6,clara_k8,text_pca64_lexical_calendar
866,1,clara_k8,text_pca64_lexical_calendar
873,0,clara_k8,text_pca64_lexical_calendar
876,2,clara_k8,text_pca64_lexical_calendar
880,0,clara_k8,text_pca64_lexical_calendar
883,3,clara_k8,text_pca64_lexical_calendar
886,7,clara_k8,text_pca64_lexical_calendar
896,3,clara_k8,text_pca64_lexical_calendar
902,0,clara_k8,text_pca64_lexical_calendar
920,6,clara_k8,text_pca64_lexical_calendar
923,3,clara_k8,text_pca64_lexical_calendar
928,0,clara_k8,text_pca64_lexical_calendar
933,0,clara_k8,text_pca64_lexical_calendar
948,0,clara_k8,text_pca64_lexical_calendar
949,6,clara_k8,text_pca64_lexical_calendar
953,1,clara_k8,text_pca64_lexical_calendar
955,2,clara_k8,text_pca64_lexical_calendar
957,2,clara_k8,text_pca64_lexical_calendar
960,0,clara_k8,text_pca64_lexical_calendar
965,1,clara_k8,text_pca64_lexical_calendar
966,0,clara_k8,text_pca64_lexical_calendar
979,6,clara_k8,text_pca64_lexical_calendar
980,0,clara_k8,text_pca64_lexical_calendar
985,1,clara_k8,text_pca64_lexical_calendar
1003,4,clara_k8,text_pca64_lexical_calendar
1022,6,clara_k8,text_pca64_lexical_calendar
1025,3,clara_k8,text_pca64_lexical_calendar
1032,1,clara_k8,text_pca64_lexical_calendar
1040,1,clara_k8,text_pca64_lexical_calendar
1043,0,clara_k8,text_pca64_lexical_calendar
1045,2,clara_k8,text_pca64_lexical_calendar
1053,6,clara_k8,text_pca64_lexical_calendar
1054,3,clara_k8,text_pca64_lexical_calendar
1057,2,clara_k8,text_pca64_lexical_calendar
1059,1,clara_k8,text_pca64_lexical_calendar
1060,2,clara_k8,text_pca64_lexical_calendar
1070,6,clara_k8,text_pca64_lexical_calendar
1077,1,clara_k8,text_pca64_lexical_calendar
1091,0,clara_k8,text_pca64_lexical_calendar
1099,1,clara_k8,text_pca64_lexical_calendar
1116,1,clara_k8,text_pca64_lexical_calendar
1121,0,clara_k8,text_pca64_lexical_calendar
1122,1,clara_k8,text_pca64_lexical_calendar
1126,2,clara_k8,text_pca64_lexical_calendar
1137,1,clara_k8,text_pca64_lexical_calendar
1139,1,clara_k8,text_pca64_lexical_calendar
1146,0,clara_k8,text_pca64_lexical_calendar
1152,1,clara_k8,text_pca64_lexical_calendar
1155,6,clara_k8,text_pca64_lexical_calendar
1162,5,clara_k8,text_pca64_lexical_calendar
1165,3,clara_k8,text_pca64_lexical_calendar
1169,3,clara_k8,text_pca64_lexical_calendar
1173,6,clara_k8,text_pca64_lexical_calendar
1175,3,clara_k8,text_pca64_lexical_calendar
1176,6,clara_k8,text_pca64_lexical_calendar
1182,0,clara_k8,text_pca64_lexical_calendar
1193,2,clara_k8,text_pca64_lexical_calendar
1196,2,clara_k8,text_pca64_lexical_calendar
1199,6,clara_k8,text_pca64_lexical_calendar
1217,1,clara_k8,text_pca64_lexical_calendar
1221,6,clara_k8,text_pca64_lexical_calendar
1224,3,clara_k8,text_pca64_lexical_calendar
1230,1,clara_k8,text_pca64_lexical_calendar
1246,0,clara_k8,text_pca64_lexical_calendar
1248,6,clara_k8,text_pca64_lexical_calendar
1255,3,clara_k8,text_pca64_lexical_calendar
1256,1,clara_k8,text_pca64_lexical_calendar
1260,1,clara_k8,text_pca64_lexical_calendar
1278,0,clara_k8,text_pca64_lexical_calendar
1285,3,clara_k8,text_pca64_lexical_calendar
1309,6,clara_k8,text_pca64_lexical_calendar
1318,5,clara_k8,text_pca64_lexical_calendar
1322,0,clara_k8,text_pca64_lexical_calendar
1325,1,clara_k8,text_pca64_lexical_calendar
1330,0,clara_k8,text_pca64_lexical_calendar
1332,1,clara_k8,text_pca64_lexical_calendar
1343,0,clara_k8,text_pca64_lexical_calendar
1348,1,clara_k8,text_pca64_lexical_calendar
1349,7,clara_k8,text_pca64_lexical_calendar
1356,1,clara_k8,text_pca64_lexical_calendar
1364,3,clara_k8,text_pca64_lexical_calendar
1368,2,clara_k8,text_pca64_lexical_calendar
1370,0,clara_k8,text_pca64_lexical_calendar
1372,0,clara_k8,text_pca64_lexical_calendar
1380,2,clara_k8,text_pca64_lexical_calendar
1384,1,clara_k8,text_pca64_lexical_calendar
1387,1,clara_k8,text_pca64_lexical_calendar
1390,1,clara_k8,text_pca64_lexical_calendar
1402,2,clara_k8,text_pca64_lexical_calendar
1406,3,clara_k8,text_pca64_lexical_calendar
1413,1,clara_k8,text_pca64_lexical_calendar
1414,6,clara_k8,text_pca64_lexical_calendar
1419,2,clara_k8,text_pca64_lexical_calendar
1424,0,clara_k8,text_pca64_lexical_calendar
1430,3,clara_k8,text_pca64_lexical_calendar
1441,0,clara_k8,text_pca64_lexical_calendar
1445,0,clara_k8,text_pca64_lexical_calendar
1452,0,clara_k8,text_pca64_lexical_calendar
1458,1,clara_k8,text_pca64_lexical_calendar
1463,0,clara_k8,text_pca64_lexical_calendar
1469,1,clara_k8,text_pca64_lexical_calendar
1470,2,clara_k8,text_pca64_lexical_calendar
1472,2,clara_k8,text_pca64_lexical_calendar
1477,0,clara_k8,text_pca64_lexical_calendar
1478,0,clara_k8,text_pca64_lexical_calendar
1480,2,clara_k8,text_pca64_lexical_calendar
1483,6,clara_k8,text_pca64_lexical_calendar
1520,2,clara_k8,text_pca64_lexical_calendar
1543,0,clara_k8,text_pca64_lexical_calendar
1549,0,clara_k8,text_pca64_lexical_calendar
1550,0,clara_k8,text_pca64_lexical_calendar
1566,1,clara_k8,text_pca64_lexical_calendar
1570,6,clara_k8,text_pca64_lexical_calendar
1572,3,clara_k8,text_pca64_lexical_calendar
1574,6,clara_k8,text_pca64_lexical_calendar
1575,0,clara_k8,text_pca64_lexical_calendar
1576,0,clara_k8,text_pca64_lexical_calendar
1581,1,clara_k8,text_pca64_lexical_calendar
1583,2,clara_k8,text_pca64_lexical_calendar
1586,1,clara_k8,text_pca64_lexical_calendar
1592,0,clara_k8,text_pca64_lexical_calendar
1598,1,clara_k8,text_pca64_lexical_calendar
1599,0,clara_k8,text_pca64_lexical_calendar
1602,6,clara_k8,text_pca64_lexical_calendar
1632,6,clara_k8,text_pca64_lexical_calendar
1640,0,clara_k8,text_pca64_lexical_calendar
1653,6,clara_k8,text_pca64_lexical_calendar
1655,0,clara_k8,text_pca64_lexical_calendar
1670,3,clara_k8,text_pca64_lexical_calendar
1684,5,clara_k8,text_pca64_lexical_calendar
1692,2,clara_k8,text_pca64_lexical_calendar
1697,1,clara_k8,text_pca64_lexical_calendar
1714,7,clara_k8,text_pca64_lexical_calendar
1718,3,clara_k8,text_pca64_lexical_calendar
1721,3,clara_k8,text_pca64_lexical_calendar
1728,0,clara_k8,text_pca64_lexical_calendar
1736,2,clara_k8,text_pca64_lexical_calendar
1738,0,clara_k8,text_pca64_lexical_calendar
1742,5,clara_k8,text_pca64_lexical_calendar
1747,6,clara_k8,text_pca64_lexical_calendar
1751,3,clara_k8,text_pca64_lexical_calendar
1761,2,clara_k8,text_pca64_lexical_calendar
1801,6,clara_k8,text_pca64_lexical_calendar
1807,4,clara_k8,text_pca64_lexical_calendar
1815,1,clara_k8,text_pca64_lexical_calendar
1824,0,clara_k8,text_pca64_lexical_calendar
1830,6,clara_k8,text_pca64_lexical_calendar
1841,1,clara_k8,text_pca64_lexical_calendar
1842,6,clara_k8,text_pca64_lexical_calendar
1846,0,clara_k8,text_pca64_lexical_calendar
1853,0,clara_k8,text_pca64_lexical_calendar
1858,0,clara_k8,text_pca64_lexical_calendar
1860,1,clara_k8,text_pca64_lexical_calendar
1862,6,clara_k8,text_pca64_lexical_calendar
1866,3,clara_k8,text_pca64_lexical_calendar
1870,5,clara_k8,text_pca64_lexical_calendar
1879,2,clara_k8,text_pca64_lexical_calendar
1880,7,clara_k8,text_pca64_lexical_calendar
1910,1,clara_k8,text_pca64_lexical_calendar
1938,2,clara_k8,text_pca64_lexical_calendar
1956,0,clara_k8,text_pca64_lexical_calendar
1965,1,clara_k8,text_pca64_lexical_calendar
1966,2,clara_k8,text_pca64_lexical_calendar
1978,1,clara_k8,text_pca64_lexical_calendar
1983,0,clara_k8,text_pca64_lexical_calendar
1994,0,clara_k8,text_pca64_lexical_calendar
2009,3,clara_k8,text_pca64_lexical_calendar
2029,4,clara_k8,text_pca64_lexical_calendar
2037,2,clara_k8,text_pca64_lexical_calendar
2040,0,clara_k8,text_pca64_lexical_calendar
2046,7,clara_k8,text_pca64_lexical_calendar
2054,3,clara_k8,text_pca64_lexical_calendar
2059,3,clara_k8,text_pca64_lexical_calendar
2060,3,clara_k8,text_pca64_lexical_calendar
2062,3,clara_k8,text_pca64_lexical_calendar
2072,2,clara_k8,text_pca64_lexical_calendar
2086,3,clara_k8,text_pca64_lexical_calendar
2087,1,clara_k8,text_pca64_lexical_calendar
2097,1,clara_k8,text_pca64_lexical_calendar
2098,6,clara_k8,text_pca64_lexical_calendar
2099,0,clara_k8,text_pca64_lexical_calendar
2104,0,clara_k8,text_pca64_lexical_calendar
2107,6,clara_k8,text_pca64_lexical_calendar
2110,3,clara_k8,text_pca64_lexical_calendar
2114,0,clara_k8,text_pca64_lexical_calendar
2125,6,clara_k8,text_pca64_lexical_calendar
2129,0,clara_k8,text_pca64_lexical_calendar
2132,0,clara_k8,text_pca64_lexical_calendar
2168,3,clara_k8,text_pca64_lexical_calendar
2173,0,clara_k8,text_pca64_lexical_calendar
2174,0,clara_k8,text_pca64_lexical_calendar
2180,5,clara_k8,text_pca64_lexical_calendar
2182,4,clara_k8,text_pca64_lexical_calendar
2188,1,clara_k8,text_pca64_lexical_calendar
2211,1,clara_k8,text_pca64_lexical_calendar
2212,0,clara_k8,text_pca64_lexical_calendar
2220,1,clara_k8,text_pca64_lexical_calendar
2225,0,clara_k8,text_pca64_lexical_calendar
2226,1,clara_k8,text_pca64_lexical_calendar
2235,0,clara_k8,text_pca64_lexical_calendar
2245,2,clara_k8,text_pca64_lexical_calendar
2259,7,clara_k8,text_pca64_lexical_calendar
2267,3,clara_k8,text_pca64_lexical_calendar
2268,7,clara_k8,text_pca64_lexical_calendar
2271,1,clara_k8,text_pca64_lexical_calendar
2280,3,clara_k8,text_pca64_lexical_calendar
2286,3,clara_k8,text_pca64_lexical_calendar
2287,2,clara_k8,text_pca64_lexical_calendar
2290,0,clara_k8,text_pca64_lexical_calendar
2298,7,clara_k8,text_pca64_lexical_calendar
2299,7,clara_k8,text_pca64_lexical_calendar
2300,3,clara_k8,text_pca64_lexical_calendar
2309,7,clara_k8,text_pca64_lexical_calendar
2316,3,clara_k8,text_pca64_lexical_calendar
2318,3,clara_k8,text_pca64_lexical_calendar
2320,0,clara_k8,text_pca64_lexical_calendar
2322,3,clara_k8,text_pca64_lexical_calendar
2323,0,clara_k8,text_pca64_lexical_calendar
2327,3,clara_k8,text_pca64_lexical_calendar
2333,3,clara_k8,text_pca64_lexical_calendar
2338,0,clara_k8,text_pca64_lexical_calendar
2339,6,clara_k8,text_pca64_lexical_calendar
2349,0,clara_k8,text_pca64_lexical_calendar
2351,3,clara_k8,text_pca64_lexical_calendar
2357,3,clara_k8,text_pca64_lexical_calendar
2360,3,clara_k8,text_pca64_lexical_calendar
2362,3,clara_k8,text_pca64_lexical_calendar
2371,2,clara_k8,text_pca64_lexical_calendar
2372,2,clara_k8,text_pca64_lexical_calendar
2375,0,clara_k8,text_pca64_lexical_calendar
2376,3,clara_k8,text_pca64_lexical_calendar
2388,0,clara_k8,text_pca64_lexical_calendar
2390,3,clara_k8,text_pca64_lexical_calendar
2391,3,clara_k8,text_pca64_lexical_calendar
2398,6,clara_k8,text_pca64_lexical_calendar
2403,3,clara_k8,text_pca64_lexical_calendar
2409,3,clara_k8,text_pca64_lexical_calendar
2417,3,clara_k8,text_pca64_lexical_calendar
2428,0,clara_k8,text_pca64_lexical_calendar
2430,3,clara_k8,text_pca64_lexical_calendar
2436,3,clara_k8,text_pca64_lexical_calendar
2437,3,clara_k8,text_pca64_lexical_calendar
2439,6,clara_k8,text_pca64_lexical_calendar
2441,6,clara_k8,text_pca64_lexical_calendar
2442,0,clara_k8,text_pca64_lexical_calendar
2447,1,clara_k8,text_pca64_lexical_calendar
2449,3,clara_k8,text_pca64_lexical_calendar
2450,2,clara_k8,text_pca64_lexical_calendar
2465,1,clara_k8,text_pca64_lexical_calendar
2468,1,clara_k8,text_pca64_lexical_calendar
2474,1,clara_k8,text_pca64_lexical_calendar
2483,2,clara_k8,text_pca64_lexical_calendar
2493,1,clara_k8,text_pca64_lexical_calendar
2495,2,clara_k8,text_pca64_lexical_calendar
2502,0,clara_k8,text_pca64_lexical_calendar
2513,3,clara_k8,text_pca64_lexical_calendar
2514,0,clara_k8,text_pca64_lexical_calendar
2516,0,clara_k8,text_pca64_lexical_calendar
2522,0,clara_k8,text_pca64_lexical_calendar
2527,2,clara_k8,text_pca64_lexical_calendar
2530,5,clara_k8,text_pca64_lexical_calendar
2540,1,clara_k8,text_pca64_lexical_calendar
2542,0,clara_k8,text_pca64_lexical_calendar
2544,6,clara_k8,text_pca64_lexical_calendar
2546,0,clara_k8,text_pca64_lexical_calendar
2547,2,clara_k8,text_pca64_lexical_calendar
2588,2,clara_k8,text_pca64_lexical_calendar
2592,6,clara_k8,text_pca64_lexical_calendar
2605,0,clara_k8,text_pca64_lexical_calendar
2608,0,clara_k8,text_pca64_lexical_calendar
2623,6,clara_k8,text_pca64_lexical_calendar
2625,4,clara_k8,text_pca64_lexical_calendar
2630,4,clara_k8,text_pca64_lexical_calendar
2633,7,clara_k8,text_pca64_lexical_calendar
2638,6,clara_k8,text_pca64_lexical_calendar
2644,3,clara_k8,text_pca64_lexical_calendar
2648,3,clara_k8,text_pca64_lexical_calendar
2660,3,clara_k8,text_pca64_lexical_calendar
2662,1,clara_k8,text_pca64_lexical_calendar
2667,7,clara_k8,text_pca64_lexical_calendar
2683,1,clara_k8,text_pca64_lexical_calendar
2687,0,clara_k8,text_pca64_lexical_calendar
