row_index,label,algorithm,feature_space
23,2,clara_k8,text_pca64_only
39,3,clara_k8,text_pca64_only
53,3,clara_k8,text_pca64_only
70,0,clara_k8,text_pca64_only
87,6,clara_k8,text_pca64_only
88,3,clara_k8,text_pca64_only
97,3,clara_k8,text_pca64_only
101,1,clara_k8,text_pca64_only
102,3,clara_k8,text_pca64_only
103,6,clara_k8,text_pca64_only
106,3,clara_k8,text_pca64_only
114,0,clara_k8,text_pca64_only
115,3,clara_k8,text_pca64_only
124,0,clara_k8,text_pca64_only
127,3,clara_k8,text_pca64_only
134,1,clara_k8,text_pca64_only
135,3,clara_k8,text_pca64_only
142,6,clara_k8,text_pca64_only
147,1,clara_k8,text_pca64_only
149,3,clara_k8,text_pca64_only
151,4,clara_k8,text_pca64_only
158,0,clara_k8,text_pca64_only
161,6,clara_k8,text_pca64_only
182,2,clara_k8,text_pca64_only
186,2,clara_k8,text_pca64_only
195,1,clara_k8,text_pca64_only
219,0,clara_k8,text_pca64_only
226,1,clara_k8,text_pca64_only
239,3,clara_k8,text_pca64_only
250,3,clara_k8,text_pca64_only
253,0,clara_k8,text_pca64_only
265,1,clara_k8,text_pca64_only
267,2,clara_k8,text_pca64_only
270,0,clara_k8,text_pca64_only
274,1,clara_k8,text_pca64_only
278,6,clara_k8,text_pca64_only
295,1,clara_k8,text_pca64_only
300,1,clara_k8,text_pca64_only
312,3,clara_k8,text_pca64_only
313,0,clara_k8,text_pca64_only
342,0,clara_k8,text_pca64_only
347,2,clara_k8,text_pca64_only
351,1,clara_k8,text_pca64_only
362,3,clara_k8,text_pca64_only
365,3,clara_k8,text_pca64_only
369,1,clara_k8,text_pca64_only
373,1,clara_k8,text_pca64_only
378,0,clara_k8,text_pca64_only
379,2,clara_k8,text_pca64_only
380,4,clara_k8,text_pca64_only
398,1,clara_k8,text_pca64_only
406,1,clara_k8,text_pca64_only
419,0,clara_k8,text_pca64_only
422,0,clara_k8,text_pca64_only
423,5,clara_k8,text_pca64_only
436,1,clara_k8,text_pca64_only
437,3,clara_k8,text_pca64_only
441,3,clara_k8,text_pca64_only
444,2,clara_k8,text_pca64_only
454,2,clara_k8,text_pca64_only
457,5,clara_k8,text_pca64_only
466,2,clara_k8,text_pca64_only
473,1,clara_k8,text_pca64_only
474,1,clara_k8,text_pca64_only
476,0,clara_k8,text_pca64_only
484,0,clara_k8,text_pca64_only
487,1,clara_k8,text_pca64_only
491,1,clara_k8,text_pca64_only
494,1,clara_k8,text_pca64_only
502,1,clara_k8,text_pca64_only
504,1,clara_k8,text_pca64_only
505,2,clara_k8,text_pca64_only
512,0,clara_k8,text_pca64_only
516,3,clara_k8,text_pca64_only
519,0,clara_k8,text_pca64_only
524,0,clara_k8,text_pca64_only
525,1,clara_k8,text_pca64_only
536,5,clara_k8,text_pca64_only
549,6,clara_k8,text_pca64_only
563,2,clara_k8,text_pca64_only
564,6,clara_k8,text_pca64_only
572,0,clara_k8,text_pca64_only
573,2,clara_k8,text_pca64_only
575,6,clara_k8,text_pca64_only
578,2,clara_k8,text_pca64_only
581,6,clara_k8,text_pca64_only
585,0,clara_k8,text_pca64_only
590,6,clara_k8,text_pca64_only
614,0,clara_k8,text_pca64_only
616,2,clara_k8,text_pca64_only
618,2,clara_k8,text_pca64_only
624,1,clara_k8,text_pca64_only
628,6,clara_k8,text_pca64_only
632,6,clara_k8,text_pca64_only
647,1,clara_k8,text_pca64_only
651,1,clara_k8,text_pca64_only
655,0,clara_k8,text_pca64_only
669,6,clara_k8,text_pca64_only
672,3,clara_k8,text_pca64_only
673,0,clara_k8,text_pca64_only
674,1,clara_k8,text_pca64_only
689,0,clara_k8,text_pca64_only
690,0,clara_k8,text_pca64_only
695,2,clara_k8,text_pca64_only
698,2,clara_k8,text_pca64_only
701,0,clara_k8,text_pca64_only
708,0,clara_k8,text_pca64_only
712,0,clara_k8,text_pca64_only
716,0,clara_k8,text_pca64_only
752,6,clara_k8,text_pca64_only
756,0,clara_k8,text_pca64_only
758,1,clara_k8,text_pca64_only
773,1,clara_k8,text_pca64_only
775,0,clara_k8,text_pca64_only
777,1,clara_k8,text_pca64_only
782,0,clara_k8,text_pca64_only
784,1,clara_k8,text_pca64_only
788,1,clara_k8,text_pca64_only
790,1,clara_k8,text_pca64_only
793,0,clara_k8,text_pca64_only
802,1,clara_k8,text_pca64_only
803,0,clara_k8,text_pca64_only
804,0,clara_k8,text_pca64_only
