feature_space,algorithm,k,fit_n_rows,eval_n_rows,coverage_pct,n_clusters,silhouette_cosine,silhouette_euclidean,dbi,calinski_harabasz,inertia,negative_silhouette_pct,silhouette_p10,silhouette_p25,silhouette_median,silhouette_p75,silhouette_p90,largest_cluster_pct,top3_cluster_pct,top5_cluster_pct,min_cluster_size,median_cluster_size,max_cluster_size,normalized_entropy,gini,n_clusters_lt_100,n_clusters_lt_500,low_interpretability_clusters,publisher_warning_count,stock_warning_count,notes,base_score,silhouette_cosine_score,dbi_score,negative_silhouette_pct_score,normalized_entropy_score,largest_cluster_pct_score,n_clusters_lt_500_score,publisher_warning_count_score,stock_warning_count_score,mean_ARI,mean_NMI,mean_ARI_score,mean_NMI_score,final_score
text_768_l2,MiniBatchKMeans,40,100000,10000,100.0,40,0.0803915187716484,0.0550573617219924,3.2528701048583613,157.04059448512737,27008.345703125,40.93,-0.1245262891054153,-0.0548700923100113,0.0274152504280209,0.1356412209570408,0.3975395232439042,4.309,12.68,20.701,271,2475.0,4309,0.9745885078677898,0.23668,0,1,2,11,0,,0.9231663961441927,0.8532380500131322,0.9706127836366192,0.8672924719307933,0.9689541034176724,0.9322522961879216,0.9736842105263158,1.0,1.0,0.42581608313744124,0.6625645865836157,1.0,0.7529477923508697,1.09846117537928
text_768_l2,MiniBatchKMeans,64,100000,10000,100.0,64,0.0817523524165153,0.056259986013174,3.215361944963442,112.96373927201084,25536.798828125,41.44,-0.1260698184370994,-0.0569031834602355,0.028513366356492,0.1401512250304222,0.3888748943805696,2.642,7.510999999999999,11.97,266,1595.0,2642,0.9857881534597256,0.1817459374999999,0,2,2,25,0,,0.9138613207683004,0.8643288227580532,0.9860637957480634,0.8579053929688938,1.0,1.0,0.9473684210526315,0.6410256410256411,1.0,0.4082645035626108,0.6821701487474362,0.8224468843432582,1.0,1.0961060092026262
text_768_l2,MiniBatchKMeans,32,100000,10000,100.0,32,0.0826370939612388,0.0547694340348243,3.181531062323545,182.6719267006938,27811.400390625,39.39,-0.1130964912474155,-0.0481995772570371,0.0332026667892932,0.132998526096344,0.3999095320701599,7.19,18.73,28.456,507,3171.5,7190,0.96586062073054,0.2637743749999999,0,0,0,12,0,,0.9253616391911762,0.8715394523949173,1.0,0.8956377691882937,0.944760026987219,0.8151670324311143,1.0,0.9743589743589743,1.0,0.4126482061691647,0.6557574843071828,0.8667927537613243,0.6671706220236888,1.0787579767696776
text_768_l2,MiniBatchKMeans,48,100000,10000,100.0,48,0.0773665308952331,0.0534180179238319,3.2011511352594937,138.38427965061092,26409.4765625,42.46,-0.1352687105536461,-0.0608784165233373,0.0245434129610657,0.1322591416537761,0.4371561199426652,3.952,11.415,18.048,532,2134.5,3952,0.976646056832798,0.2345337499999999,0,0,2,16,0,,0.9125278634862023,0.82858444652529,0.9919177590846886,0.8391312350450948,0.9746577171486922,0.9467609526131837,1.0,0.8717948717948718,1.0,0.40761033191890894,0.6692318257392438,0.8158292341757417,0.8369625295238873,1.0778070398561652
text_pca128_lexical_w005_l2,MiniBatchKMeans,64,100000,10000,100.0,64,0.0983991548418998,0.0635015815496444,3.775245244084679,40.044849176047386,80364.546875,33.72,-0.0534757822751998,-0.0179742034524679,0.0369866974651813,0.1355639919638633,0.3429722458124161,3.057,8.933,14.513000000000002,485,1530.0,3057,0.973599371563251,0.2648278125000001,0,2,1,30,0,,0.9164559958359318,1.0,0.7554269513933135,1.0,0.9662121752767812,0.9831341949118102,0.9473684210526315,0.5128205128205128,1.0,0.326963525637057,0.6028121768014223,0.0,0.0,0.9164559958359318
text_pca128_only,MiniBatchKMeans,64,100000,10000,100.0,64,0.090165302157402,-0.0170776490122079,3.9910364772773295,33.100108390977915,10668071.0,35.22,-0.0572958275675773,-0.0195913631469011,0.0316079966723918,0.1313193440437317,0.3482102483510973,3.248,9.432,15.361,273,1550.5,3248,0.9697944034226827,0.2740556249999999,0,6,0,25,1,,0.8705296371051082,0.932894230471605,0.6665344819428257,0.9723909442297073,0.9556646408551391,0.9753718605218239,0.8421052631578947,0.6410256410256411,0.8888888888888888,,,,,0.8705296371051082
text_pca128_lexical_w003,MiniBatchKMeans,64,100000,10000,100.0,64,0.0828266739845275,-0.0187264494597911,3.9653227467258,33.49648920442761,10672096.0,34.52,-0.0616672590374946,-0.0204654531553387,0.0320387911051511,0.1194801684468984,0.3074101686477661,3.215,8.67,13.608999999999998,6,1569.5,3215,0.9685127929752532,0.2656653124999999,1,7,1,24,0,,0.8609809106355232,0.8730845265949878,0.6771269280477575,0.9852751702558439,0.9521119618812277,0.9767129968300414,0.8157894736842105,0.6666666666666666,1.0,,,,,0.8609809106355232
text_pca128_only,MiniBatchKMeans,48,100000,10000,100.0,48,0.087294153869152,-0.0271726995706558,4.232726218433313,38.391416061612645,10917804.0,37.12,-0.0579750411212444,-0.0224901549518108,0.0254934933036565,0.1146907918155193,0.3457526981830597,5.405,14.019,21.858,577,1826.5,5405,0.9620310892860454,0.3057183333333333,0,0,0,24,1,,0.8453049810643334,0.9094944172012147,0.5669734496694523,0.9374194735873367,0.9341444020365367,0.887710314557425,1.0,0.6666666666666666,0.8888888888888888,,,,,0.8453049810643334
text_pca128_lexical_w003,MiniBatchKMeans,48,100000,10000,100.0,48,0.0873729884624481,-0.0270760767161846,4.238725879479998,38.406038821810725,10918157.0,37.38,-0.0582748241722583,-0.0224105385132133,0.0256901625543832,0.1150161940604448,0.3465436816215516,5.412999999999999,13.977,21.764,577,1891.5,5413,0.9622023241736756,0.3048174999999999,0,0,0,24,1,,0.8444104782404559,0.9101369178933334,0.5645019651776352,0.9326339039204858,0.9346190724686512,0.8873851906039177,1.0,0.6666666666666666,0.8888888888888888,,,,,0.8444104782404559
text_pca128_lexical_w005_l2,MiniBatchKMeans,48,100000,10000,100.0,48,0.0831233859062194,0.0539698898792266,4.171123067116644,45.216431292929656,82941.484375,37.72,-0.0594010770320892,-0.024127131793648,0.0251862872391939,0.1108244676142931,0.3348766893148422,5.259,14.241,20.982,528,2038.0,5259,0.9648752187037216,0.29184875,0,0,0,25,0,,0.8432934255575654,0.875502724077543,0.5923500887731451,0.9263758512792196,0.9420284504238813,0.8936438267089327,1.0,0.6410256410256411,1.0,,,,,0.8432934255575654
