row_index,label,seed
4,20,13
6,15,13
7,13,13
8,13,13
12,1,13
21,13,13
23,20,13
24,35,13
27,30,13
32,58,13
33,30,13
34,45,13
35,17,13
39,13,13
40,61,13
41,58,13
49,10,13
52,43,13
53,43,13
54,45,13
62,61,13
69,39,13
70,14,13
72,63,13
73,14,13
75,40,13
80,3,13
83,18,13
85,38,13
86,46,13
87,46,13
88,13,13
95,58,13
97,31,13
98,13,13
101,23,13
102,61,13
103,43,13
104,47,13
106,17,13
107,40,13
108,10,13
109,13,13
110,52,13
114,45,13
115,13,13
119,43,13
120,58,13
122,45,13
124,15,13
127,62,13
128,10,13
130,23,13
131,10,13
134,47,13
135,13,13
137,13,13
140,14,13
142,12,13
144,15,13
147,0,13
149,61,13
150,14,13
151,7,13
152,11,13
156,38,13
158,45,13
160,23,13
161,40,13
167,41,13
170,58,13
172,23,13
173,40,13
175,3,13
176,15,13
179,33,13
180,32,13
182,36,13
186,44,13
187,12,13
190,22,13
191,11,13
194,4,13
195,36,13
196,14,13
197,35,13
198,11,13
199,30,13
202,33,13
208,47,13
210,61,13
212,9,13
216,11,13
219,11,13
221,11,13
222,13,13
223,13,13
224,14,13
225,14,13
226,11,13
231,11,13
237,36,13
239,25,13
241,32,13
242,11,13
245,14,13
248,18,13
249,26,13
250,18,13
251,56,13
253,14,13
256,30,13
259,28,13
261,46,13
262,11,13
264,4,13
265,43,13
266,40,13
267,46,13
268,46,13
269,11,13
270,28,13
271,58,13
272,36,13
273,52,13
274,17,13
277,58,13
278,46,13
279,46,13
280,42,13
283,44,13
285,19,13
288,35,13
291,56,13
292,46,13
293,28,13
295,33,13
297,4,13
300,25,13
304,58,13
305,57,13
309,52,13
312,62,13
313,32,13
314,23,13
321,10,13
323,19,13
325,23,13
326,44,13
328,63,13
330,7,13
331,40,13
332,4,13
333,46,13
335,59,13
341,11,13
342,6,13
344,11,13
345,28,13
347,14,13
351,42,13
353,11,13
354,11,13
355,13,13
356,53,13
359,3,13
362,58,13
365,10,13
369,10,13
373,14,13
374,44,13
375,50,13
378,12,13
379,52,13
380,7,13
381,46,13
383,28,13
385,14,13
394,28,13
396,60,13
398,33,13
399,8,13
400,58,13
401,10,13
402,10,13
406,3,13
407,43,13
410,58,13
414,4,13
416,57,13
417,15,13
419,14,13
421,19,13
422,15,13
423,63,13
428,23,13
429,28,13
430,47,13
431,11,13
433,11,13
435,13,13
436,59,13
437,56,13
439,20,13
441,40,13
444,52,13
446,59,13
447,59,13
448,52,13
450,46,13
452,53,13
454,44,13
456,30,13
457,63,13
458,50,13
460,52,13
462,6,13
466,14,13
467,14,13
469,13,13
470,38,13
471,28,13
472,43,13
473,3,13
474,15,13
475,60,13
476,62,13
477,42,13
478,12,13
481,18,13
482,54,13
483,2,13
484,36,13
487,14,13
488,37,13
489,33,13
491,42,13
494,42,13
499,9,13
501,12,13
502,23,13
504,59,13
505,59,13
506,42,13
508,19,13
510,7,13
512,4,13
516,59,13
519,19,13
520,15,13
522,30,13
524,4,13
525,23,13
529,32,13
532,42,13
536,63,13
539,60,13
541,4,13
542,35,13
543,35,13
545,36,13
548,52,13
549,56,13
550,36,13
554,56,13
556,60,13
561,33,13
562,4,13
563,53,13
564,51,13
568,44,13
572,4,13
573,49,13
574,47,13
575,12,13
578,12,13
581,41,13
582,17,13
585,4,13
586,27,13
588,27,13
590,27,13
592,27,13
593,27,13
598,27,13
600,27,13
601,27,13
602,27,13
604,27,13
611,3,13
612,20,13
614,10,13
616,47,13
618,14,13
622,63,13
624,11,13
625,43,13
627,27,13
628,27,13
629,9,13
630,27,13
631,27,13
632,27,13
640,12,13
642,10,13
643,9,13
644,33,13
646,27,13
647,33,13
651,52,13
652,52,13
653,32,13
655,44,13
659,30,13
662,27,13
664,7,13
665,23,13
666,11,13
669,27,13
672,10,13
673,28,13
674,59,13
675,11,13
676,27,13
677,33,13
679,6,13
680,27,13
681,10,13
685,52,13
686,43,13
687,10,13
688,59,13
689,23,13
690,32,13
695,14,13
696,44,13
697,15,13
698,20,13
700,55,13
701,23,13
702,7,13
703,9,13
708,43,13
709,52,13
711,2,13
712,28,13
713,47,13
716,6,13
718,6,13
720,3,13
724,43,13
725,28,13
726,47,13
729,28,13
730,28,13
732,28,13
736,43,13
738,43,13
745,55,13
748,55,13
749,28,13
751,20,13
752,43,13
754,47,13
756,29,13
758,48,13
759,2,13
762,43,13
763,9,13
766,49,13
771,35,13
772,48,13
773,2,13
774,28,13
775,47,13
776,9,13
777,30,13
779,49,13
780,49,13
782,6,13
784,47,13
788,36,13
790,42,13
793,49,13
795,47,13
800,49,13
802,43,13
803,49,13
804,47,13
807,55,13
808,43,13
809,59,13
811,36,13
812,49,13
816,36,13
820,48,13
821,49,13
822,59,13
828,49,13
829,49,13
831,47,13
833,52,13
836,49,13
838,9,13
839,47,13
842,6,13
843,12,13
845,55,13
848,52,13
849,52,13
851,6,13
852,45,13
853,16,13
856,52,13
862,45,13
866,1,13
867,1,13
870,55,13
871,51,13
872,51,13
873,46,13
874,49,13
875,35,13
876,52,13
878,47,13
879,55,13
880,30,13
883,49,13
884,49,13
885,49,13
886,16,13
890,59,13
892,49,13
895,54,13
896,12,13
897,57,13
898,30,13
902,59,13
904,59,13
905,10,13
906,3,13
911,47,13
913,52,13
914,49,13
915,47,13
920,47,13
921,21,13
923,54,13
926,0,13
928,55,13
930,51,13
931,36,13
933,47,13
934,47,13
935,47,13
936,11,13
938,13,13
940,13,13
942,45,13
943,48,13
945,0,13
948,45,13
949,20,13
951,45,13
953,46,13
954,21,13
955,13,13
957,13,13
959,25,13
960,51,13
962,40,13
963,48,13
964,36,13
965,30,13
966,21,13
967,37,13
970,43,13
971,37,13
976,45,13
978,57,13
979,60,13
980,40,13
985,60,13
986,54,13
988,45,13
989,33,13
994,12,13
995,35,13
996,44,13
998,30,13
999,47,13
1000,54,13
1001,22,13
1002,42,13
1003,7,13
1005,15,13
1012,39,13
1013,40,13
1018,39,13
1019,53,13
1020,13,13
1021,0,13
1022,45,13
1024,46,13
1025,53,13
1028,42,13
1029,19,13
1030,44,13
1031,12,13
1032,30,13
1033,39,13
1034,63,13
1035,14,13
1036,7,13
1038,31,13
1039,10,13
1040,30,13
1041,39,13
1043,39,13
1045,39,13
1048,33,13
1050,17,13
1053,35,13
1054,35,13
1057,38,13
1059,0,13
1060,13,13
1061,35,13
1064,61,13
1065,48,13
1068,59,13
1070,19,13
1072,30,13
1075,14,13
1077,11,13
1078,39,13
1081,11,13
1087,0,13
1088,35,13
1090,20,13
1091,45,13
1092,20,13
1096,10,13
1097,39,13
1098,9,13
1099,39,13
1101,12,13
1106,53,13
1108,19,13
1114,14,13
1116,11,13
1117,39,13
1118,38,13
1121,55,13
1122,30,13
1123,0,13
1124,12,13
1126,13,13
1127,10,13
1131,12,13
1137,57,13
1138,12,13
1139,62,13
1141,39,13
1146,62,13
1148,48,13
1152,43,13
1154,45,13
1155,45,13
1162,22,13
1163,22,13
1164,17,13
1165,54,13
1166,30,13
1167,23,13
1169,29,13
1170,29,13
1171,12,13
1173,23,13
1174,29,13
1175,29,13
1176,29,13
1179,29,13
1180,29,13
1181,29,13
1182,29,13
1185,29,13
1186,29,13
1187,61,13
1189,12,13
1190,23,13
1192,12,13
1193,29,13
1194,29,13
1196,12,13
1197,44,13
1199,12,13
1200,12,13
1202,12,13
1203,54,13
1205,12,13
1213,47,13
1215,29,13
1216,17,13
1217,0,13
1219,53,13
1220,47,13
1221,20,13
1222,51,13
1224,53,13
1226,47,13
1227,44,13
1228,12,13
1230,12,13
1232,30,13
1235,12,13
1241,7,13
1246,42,13
1247,25,13
1248,44,13
1250,7,13
1253,20,13
1255,50,13
1256,24,13
1257,63,13
1260,20,13
1261,44,13
1262,55,13
1266,44,13
1270,7,13
1272,62,13
1274,24,13
1275,44,13
1276,22,13
1277,7,13
1278,51,13
1281,51,13
1282,44,13
1285,51,13
1288,51,13
1289,51,13
1290,29,13
1291,51,13
1292,51,13
1295,51,13
1296,51,13
1297,51,13
1298,51,13
1300,51,13
1302,62,13
1305,62,13
1308,8,13
1309,23,13
1311,37,13
1314,36,13
1315,37,13
1317,57,13
1318,2,13
1319,23,13
1322,51,13
1323,50,13
1325,59,13
1326,28,13
1327,37,13
1328,33,13
1330,36,13
1332,41,13
1334,33,13
1340,28,13
1343,12,13
1346,63,13
1347,57,13
1348,33,13
1349,33,13
1350,15,13
1351,51,13
1356,33,13
1357,0,13
1361,60,13
1362,62,13
1364,42,13
1366,43,13
1368,61,13
1370,54,13
1371,17,13
1372,23,13
1373,45,13
1380,62,13
1384,53,13
1385,51,13
1386,33,13
1387,45,13
1388,53,13
1389,17,13
1390,57,13
1392,17,13
1393,33,13
1394,17,13
1397,6,13
1399,45,13
1400,40,13
1402,53,13
1404,35,13
1406,41,13
1409,34,13
1410,34,13
1413,40,13
1414,52,13
1418,20,13
1419,13,13
1422,47,13
1424,38,13
1427,62,13
1428,35,13
1430,1,13
1433,12,13
1434,12,13
1437,12,13
1438,12,13
1441,21,13
1442,12,13
1443,47,13
1444,25,13
1445,21,13
1447,29,13
1448,23,13
1449,21,13
1452,21,13
1453,24,13
1456,21,13
1457,24,13
1458,24,13
1463,21,13
1464,24,13
1465,0,13
1469,24,13
1470,50,13
1472,50,13
1477,51,13
1478,23,13
1479,50,13
1480,50,13
1482,59,13
1483,56,13
1484,36,13
1485,38,13
1486,50,13
1489,44,13
1490,21,13
1491,41,13
1498,15,13
1499,46,13
1500,23,13
1501,40,13
1503,6,13
1506,0,13
1507,29,13
1512,23,13
1513,59,13
1517,12,13
1518,55,13
1519,33,13
1520,50,13
1522,12,13
1523,13,13
1529,21,13
1531,32,13
1534,24,13
1536,21,13
1540,32,13
1543,32,13
1546,54,13
1549,21,13
1550,21,13
1551,21,13
1554,21,13
1556,21,13
1557,32,13
1558,45,13
1563,6,13
1566,11,13
1568,47,13
1570,29,13
1572,23,13
1574,23,13
1575,45,13
1576,51,13
1578,29,13
1579,29,13
1580,43,13
1581,21,13
1583,49,13
1584,25,13
1586,30,13
1588,29,13
1590,29,13
1592,29,13
1594,29,13
1598,21,13
